k	j	i	s	
10	160	6	1.026541	
10	159	6	2.216173	
10	158	5	-0.599821	
10	157	5	0.145187	
10	156	4	0.864193	
10	155	4	2.369311	
10	154	3	3.188299	
10	153	3	3.745637	
10	152	2	4.091584	
10	151	2	3.878758	
10	150	1	5.030894	
9	150	9	3.701832	
9	149	9	3.427807	
9	148	8	1.139923	
9	147	8	1.349304	
9	146	7	4.406437	
9	145	7	7.283162	
9	144	6	6.340002	
9	143	6	9.625912	
9	142	5	7.935042	
9	141	5	13.902077	
9	140	4	12.417959	
9	139	4	13.384197	
9	138	3	13.809002	
9	137	3	8.839535	
9	136	2	5.278727	
9	136	1	6.735673	
8	136	7	3.220800	
8	135	6	3.377229	
8	135	5	4.016005	
8	134	4	11.409327	
8	133	3	12.441714	
8	132	2	13.489528	
8	131	2	6.082165	
8	131	1	6.986558	
7	131	9	0.002563	
7	130	8	1.679453	
7	130	7	1.518886	
7	129	6	2.848926	
7	128	5	8.983989	
7	127	5	10.493515	
7	126	4	15.879737	
7	125	4	9.521414	
7	124	3	11.511523	
7	123	3	-0.432623	
7	122	2	7.554862	
7	121	2	-2.738123	
7	120	1	13.597589	
6	120	8	5.559031	
6	119	8	3.537973	
6	118	7	2.244722	
6	117	6	3.683790	
6	116	5	8.403635	
6	115	4	2.536587	
6	115	3	0.519639	
6	114	2	1.482430	
6	114	1	1.041055	
5	114	14	-1.132141	
5	113	13	-1.395680	
5	113	12	-1.333496	
5	112	11	-2.383023	
5	112	10	-2.551277	
5	111	9	-2.520103	
5	111	8	-2.538429	
5	110	7	-3.508929	
5	110	6	-3.609512	
5	109	5	-4.893907	
5	109	4	-4.594813	
5	108	3	-2.650079	
5	108	2	-2.496847	
5	107	1	-8.198372	
4	107	9	-5.920759	
4	107	8	-6.339544	
4	106	7	-3.062521	
4	106	6	0.031700	
4	105	5	2.443125	
4	104	4	17.883217	
4	103	3	7.517950	
4	102	2	14.775350	
4	101	1	7.695600	
3	101	10	3.122431	
3	100	9	27.031540	
3	99	9	4.693955	
3	99	8	-1.007621	
3	98	7	24.088068	
3	97	7	13.977027	
3	96	6	4.560360	
3	95	5	2.913779	
3	95	4	2.089475	
3	94	3	2.521891	
3	94	2	0.396678	
3	93	1	-3.076320	
2	93	13	1.109308	
2	93	12	1.127549	
2	92	11	0.426334	
2	92	10	0.939283	
2	91	9	0.879731	
2	91	8	0.603593	
2	90	7	0.861821	
2	90	6	0.367178	
2	89	5	-0.440383	
2	89	4	-0.025256	
2	88	3	1.558973	
2	88	2	2.010395	
2	87	1	-0.632761	
1	87	6	-1.919388	
1	87	5	-0.898464	
1	86	4	-4.590719	
1	86	3	-1.149428	
1	85	2	-0.656763	
1	84	1	-4.124760	
