	k	i	s
90	10	6	-2.3835450000000002
89	10	5	-2.186811
88	10	4	-2.0955630000000003
87	10	3	-0.235031
86	10	2	-1.147936
85	10	1	-4.432498000000001
84	9	9	17.479359
83	9	8	5.692246
82	9	7	5.614477
81	9	6	0.568351
80	9	5	1.851733
79	9	4	2.222083
78	9	3	2.166417
77	9	2	0.718974
76	9	1	1.592999
75	8	7	1.304315
74	8	6	-0.751746
73	8	5	-5.3774489999999995
72	8	4	-7.876052
71	8	3	-10.34919
70	8	2	-6.998144
69	8	1	-5.88302
68	7	9	-2.6275239999999997
67	7	8	-0.23768299999999998
66	7	7	-0.8571650000000001
65	7	6	2.0321199999999995
64	7	5	-1.7774610000000002
63	7	4	11.927666
62	7	3	16.58014
61	7	2	12.044265
60	7	1	-1.0113299999999998
59	6	8	4.228325
58	6	7	7.476531
57	6	6	3.94856
56	6	5	3.821728
55	6	4	2.768263
54	6	3	0.5458770000000001
53	6	2	-0.18424400000000002
52	6	1	-1.4144459999999999
51	5	14	0.363377
50	5	13	0.236456
49	5	12	-0.859833
48	5	11	-0.9585959999999999
47	5	10	-0.321522
46	5	9	-0.485084
45	5	8	-0.542563
44	5	7	-0.728835
43	5	6	-0.360297
42	5	5	-0.190051
41	5	4	-0.686145
40	5	3	-0.632832
39	5	2	0.5685520000000001
38	5	1	-2.213632
37	4	9	-4.240278
36	4	8	-4.330532
35	4	7	-5.089258
34	4	6	-3.028033
33	4	5	-0.983824
32	4	4	-24.636507
31	4	3	6.977038000000001
30	4	2	-12.393764
29	4	1	11.647414
28	3	10	-0.871933
27	3	9	25.722967999999998
26	3	8	0.864145
25	3	7	32.530035
24	3	6	-1.073894
23	3	5	6.367172
22	3	4	4.107495
21	3	3	4.07839
20	3	2	16.249356000000002
19	3	1	3.5744260000000003
18	2	13	5.691533
17	2	12	20.097141
16	2	11	10.982453999999999
15	2	10	5.278865000000001
14	2	9	4.967853
13	2	8	4.983174
12	2	7	5.035428
11	2	6	4.777955
10	2	5	4.737908
9	2	4	4.460833999999999
8	2	3	4.161096
7	2	2	3.78234
6	2	1	3.0898950000000003
5	1	6	2.030191
4	1	5	17.865732
3	1	4	30.0063
2	1	3	40.297184
1	1	2	19.55121
0	1	1	-2.123236
