	k	i	s
90	10	6	-0.256372
89	10	5	0.11281600000000001
88	10	4	-3.842835
87	10	3	-0.033296
86	10	2	-0.23648899999999998
85	10	1	-3.81754
84	9	9	-3.180018
83	9	8	-1.379843
82	9	7	-0.6457189999999999
81	9	6	-1.245984
80	9	5	-1.19907
79	9	4	-2.027254
78	9	3	-0.47795
77	9	2	3.683612
76	9	1	1.7140119999999999
75	8	7	0.553899
74	8	6	0.503253
73	8	5	0.866301
72	8	4	0.697576
71	8	3	0.25297800000000004
70	8	2	1.046722
69	8	1	0.8909299999999999
68	7	9	-2.849576
67	7	8	-2.999566
66	7	7	-3.038732
65	7	6	-3.7321940000000002
64	7	5	-3.237777
63	7	4	-2.662556
62	7	3	-2.131883
61	7	2	-0.539971
60	7	1	0.059498
59	6	8	-0.6351479999999999
58	6	7	-1.7100490000000002
57	6	6	-1.506264
56	6	5	4.114161
55	6	4	8.751388
54	6	3	1.4116549999999999
53	6	2	2.822086
52	6	1	2.83813
51	5	14	2.557862
50	5	13	3.1068130000000003
49	5	12	3.388233
48	5	11	4.084846
47	5	10	4.565443
46	5	9	3.597426
45	5	8	3.9053940000000003
44	5	7	3.961467
43	5	6	4.024243
42	5	5	5.053953
41	5	4	5.168193
40	5	3	19.499363
39	5	2	2.708198
38	5	1	2.616298
37	4	9	-1.904381
36	4	8	0.080272
35	4	7	1.972418
34	4	6	11.078084
33	4	5	29.974498999999998
32	4	4	16.145142
31	4	3	43.768799
30	4	2	5.368909
29	4	1	19.504020999999998
28	3	10	0.738341
27	3	9	10.424116000000001
26	3	8	5.606365
25	3	7	34.842372999999995
24	3	6	0.9186380000000001
23	3	5	4.777866
22	3	4	5.567517
21	3	3	4.361829
20	3	2	1.918306
19	3	1	1.826064
18	2	13	0.607244
17	2	12	1.6301839999999999
16	2	11	-0.8086720000000001
15	2	10	-0.15121400000000002
14	2	9	-0.080349
13	2	8	-0.072115
12	2	7	-0.33264299999999997
11	2	6	-0.28181
10	2	5	-0.11266400000000001
9	2	4	0.041663
8	2	3	2.676206
7	2	2	1.442283
6	2	1	1.7313720000000001
5	1	6	-4.241562
4	1	5	-4.22124
3	1	4	-3.3115349999999997
2	1	3	-3.2738509999999996
1	1	2	-1.8362169999999998
0	1	1	-7.454542999999999
