	k	i	s
90	10	6	-3.106966
89	10	5	-1.1825219999999999
88	10	4	-1.893313
87	10	3	-2.675477
86	10	2	-3.288671
85	10	1	-5.947609
84	9	9	5.681657
83	9	8	1.411962
82	9	7	6.049969
81	9	6	1.627546
80	9	5	1.406505
79	9	4	1.270191
78	9	3	-1.495191
77	9	2	-4.097157
76	9	1	-4.8433660000000005
75	8	7	-0.9279519999999999
74	8	6	-1.5931909999999998
73	8	5	-2.23557
72	8	4	-5.839816
71	8	3	-8.251453
70	8	2	-2.13389
69	8	1	-1.116141
68	7	9	-2.383478
67	7	8	-1.699912
66	7	7	1.2407540000000001
65	7	6	-2.7861580000000004
64	7	5	-0.26614299999999996
63	7	4	1.062782
62	7	3	6.123794
61	7	2	7.484329000000001
60	7	1	2.833324
59	6	8	8.193593
58	6	7	-0.8241069999999999
57	6	6	0.784718
56	6	5	-0.169427
55	6	4	4.26654
54	6	3	-0.32540399999999997
53	6	2	0.904611
52	6	1	1.567657
51	5	14	2.029814
50	5	13	2.6945740000000002
49	5	12	2.739385
48	5	11	2.6431139999999997
47	5	10	3.837301
46	5	9	1.246796
45	5	8	1.354593
44	5	7	3.017689
43	5	6	6.797931
42	5	5	2.036636
41	5	4	-4.5644860000000005
40	5	3	1.672079
39	5	2	8.215186
38	5	1	1.2628629999999998
37	4	9	0.431667
36	4	8	3.954938
35	4	7	11.161253
34	4	6	6.824627
33	4	5	5.498204
32	4	4	4.606876000000001
31	4	3	-14.543789000000002
30	4	2	-22.355284
29	4	1	-53.856014
28	3	10	3.356332
27	3	9	16.926363000000002
26	3	8	-2.309236
25	3	7	40.45195
24	3	6	-9.689572
23	3	5	-1.402837
22	3	4	19.826990000000002
21	3	3	14.529563
20	3	2	10.164845000000001
19	3	1	3.918395
18	2	13	0.621378
17	2	12	0.796458
16	2	11	0.56467
15	2	10	0.45127700000000004
14	2	9	-0.325151
13	2	8	-0.364633
12	2	7	-0.345454
11	2	6	-0.23150500000000002
10	2	5	1.284865
9	2	4	-1.363861
8	2	3	-0.04126099999999999
7	2	2	1.891719
6	2	1	1.557601
5	1	6	-2.664344
4	1	5	5.791071
3	1	4	9.827353
2	1	3	-9.807223
1	1	2	20.85351
0	1	1	-15.986769
