	k	i	s
90	10	6	-0.327416
89	10	5	-0.421325
88	10	4	-0.689128
87	10	3	-0.800908
86	10	2	-0.8638
85	10	1	-1.945847
84	9	9	-2.9614979999999997
83	9	8	-3.122373
82	9	7	-2.043101
81	9	6	-1.532709
80	9	5	-2.1870380000000003
79	9	4	-1.7300970000000002
78	9	3	-1.028493
77	9	2	-1.793743
76	9	1	-3.7169730000000003
75	8	7	-1.952912
74	8	6	-2.684588
73	8	5	-2.126213
72	8	4	-1.379743
71	8	3	-1.6683189999999999
70	8	2	-0.955174
69	8	1	1.236613
68	7	9	-1.613421
67	7	8	-2.229768
66	7	7	-1.1866940000000001
65	7	6	-1.505257
64	7	5	-1.459818
63	7	4	-1.50017
62	7	3	5.312833
61	7	2	15.537298
60	7	1	3.921482
59	6	8	-3.8237290000000006
58	6	7	8.372963
57	6	6	0.763732
56	6	5	-5.358388
55	6	4	-2.49182
54	6	3	-5.662165
53	6	2	-3.0888560000000003
52	6	1	-2.3412040000000003
51	5	14	-4.26678
50	5	13	-1.672782
49	5	12	-1.912952
48	5	11	-3.194322
47	5	10	-3.539001
46	5	9	-1.499647
45	5	8	-2.185019
44	5	7	-2.230971
43	5	6	-7.323931
42	5	5	-11.926868
41	5	4	-1.8662990000000002
40	5	3	3.281505
39	5	2	2.964454
38	5	1	-6.310697
37	4	9	2.814143
36	4	8	1.197062
35	4	7	12.591925
34	4	6	6.584838
33	4	5	1.010089
32	4	4	7.736858
31	4	3	-7.123835000000001
30	4	2	-3.6593699999999996
29	4	1	-50.721610999999996
28	3	10	2.729693
27	3	9	10.291045
26	3	8	1.44204
25	3	7	12.065433000000002
24	3	6	-3.156658
23	3	5	0.20053500000000013
22	3	4	-0.613286
21	3	3	-0.6461359999999999
20	3	2	-0.395978
19	3	1	1.390182
18	2	13	2.561874
17	2	12	1.9866759999999999
16	2	11	3.498754
15	2	10	11.151641000000001
14	2	9	13.503935000000002
13	2	8	4.234045
12	2	7	4.3470949999999995
11	2	6	4.677296
10	2	5	4.601744
9	2	4	5.631773
8	2	3	5.68038
7	2	2	3.8603910000000003
6	2	1	4.086462
5	1	6	3.7969480000000004
4	1	5	4.530177
3	1	4	18.982841
2	1	3	26.692584
1	1	2	17.47644
0	1	1	0.28649
