	k	i	s
54	10	6	-0.49051000000000006
53	10	5	-0.24670799999999998
52	10	4	0.42497399999999996
51	10	3	0.481279
50	10	2	1.542618
49	10	1	1.204844
48	9	9	1.081572
47	9	8	1.4085040000000002
46	9	7	-2.109226
45	9	6	1.860901
44	9	5	-1.7473140000000003
43	9	4	-7.237829999999999
42	9	3	-3.1095040000000003
41	9	2	-4.546558999999999
40	9	1	-2.4057180000000002
39	8	7	-2.001089
38	8	6	-1.878041
37	8	5	-4.323196
36	8	4	-3.9699660000000003
35	8	3	-2.604244
34	8	2	-3.796726
33	8	1	-10.13499
32	7	9	0.28025999999999995
31	7	8	-0.16250100000000023
30	7	7	-1.141078
29	7	6	-0.972324
28	7	5	5.282344999999999
27	7	4	-1.243099
26	7	3	-2.386079
25	7	2	2.502955
24	7	1	-2.8850279999999997
23	6	8	-1.830402
22	6	7	-0.60745
21	6	6	-0.567829
20	6	5	0.138266
19	6	4	-0.470896
18	6	3	0.737531
17	6	2	-1.347431
16	6	1	-5.025866000000001
15	5	14	3.8168870000000004
14	5	13	3.3469
13	5	12	3.0556389999999998
12	5	11	4.7846910000000005
11	5	10	8.766353
10	5	9	5.183263999999999
9	5	8	4.950982
8	5	1	2.515498
7	4	9	4.282081
6	4	1	-12.008488
5	3	10	-4.33648
4	3	1	-14.361533999999999
3	2	13	-8.909403
2	2	1	-10.200394000000001
1	1	6	-12.877701
0	1	1	-6.707396000000001
