k	j	i	s	
10	118	6	0.291152	
10	118	5	0.819502	
10	117	4	0.114971	
10	116	3	2.261087	
10	115	3	0.604813	
10	114	2	1.759511	
10	114	1	1.638210	
9	114	9	0.655127	
9	113	8	3.130967	
9	112	7	2.538379	
9	111	7	2.461812	
9	110	6	5.148876	
9	109	6	5.426818	
9	108	5	5.372579	
9	107	5	5.298877	
9	106	4	8.580003	
9	105	4	10.116402	
9	104	3	11.034185	
9	103	3	9.337314	
9	102	2	3.731583	
9	102	1	4.063332	
8	102	7	2.794580	
8	101	6	8.436470	
8	100	5	4.762210	
8	99	5	5.244584	
8	98	4	5.187498	
8	97	3	5.738554	
8	96	2	6.416952	
8	95	2	2.435483	
8	95	1	3.084950	
7	95	9	-0.629582	
7	94	8	0.646992	
7	94	7	1.657507	
7	93	6	-0.273513	
7	92	5	-1.390578	
7	91	5	1.039707	
7	90	4	-1.620222	
7	89	4	6.002342	
7	88	3	3.592107	
7	87	3	7.589289	
7	86	2	2.926645	
7	85	2	6.816206	
7	84	1	-2.958706	
6	84	8	-3.453335	
6	83	8	1.957102	
6	82	7	-3.162161	
6	81	7	0.795557	
6	80	6	3.994913	
6	79	6	8.623365	
6	78	5	8.782887	
6	77	4	14.337664	
6	76	3	11.681332	
6	75	3	15.475533	
6	74	2	7.248427	
6	74	1	5.970584	
5	74	14	1.885174	
5	73	13	1.668106	
5	73	12	2.014479	
5	72	11	2.881312	
5	72	10	2.989176	
5	71	9	4.090846	
5	71	8	4.304742	
5	70	7	4.119339	
5	70	6	4.256539	
5	69	5	4.867830	
5	69	4	5.012197	
5	68	3	4.758037	
5	68	2	4.793977	
5	67	1	8.040503	
4	67	9	3.090870	
4	67	8	4.234770	
4	66	7	9.895027	
4	66	6	6.718181	
4	65	5	20.836670	
4	64	4	17.671381	
4	63	4	12.480532	
4	62	3	-16.686327	
4	61	3	36.074532	
4	60	2	-12.677484	
4	59	2	-1.347675	
4	59	1	12.213911	
3	59	10	1.230077	
3	58	9	-14.632478	
3	57	9	29.916370	
3	56	8	-1.172434	
3	55	7	41.917213	
3	54	6	1.437263	
3	53	6	-5.816076	
3	52	5	0.142333	
3	51	5	0.800208	
3	51	4	0.503326	
3	50	3	1.886442	
3	50	2	-0.091914	
3	49	1	-4.413342	
2	49	13	4.102125	
2	48	12	1.116117	
2	47	11	2.950084	
2	47	10	1.036737	
2	46	9	1.433890	
2	46	8	1.008424	
2	45	7	2.462706	
2	45	6	2.295366	
2	44	5	1.676353	
2	44	4	1.368068	
2	43	3	1.337724	
2	43	2	0.919729	
2	42	1	0.773079	
1	42	6	2.723199	
1	42	5	2.750212	
1	41	4	38.335461	
1	40	3	13.287576	
1	39	2	40.173069	
1	38	1	11.490991	
