	k	i	s
90	10	6	-2.5967540000000002
89	10	5	-0.354507
88	10	4	-0.532486
87	10	3	-0.572699
86	10	2	-0.872642
85	10	1	-0.280852
84	9	9	3.0754330000000003
83	9	8	1.090881
82	9	7	0.831149
81	9	6	0.29411
80	9	5	-0.12484
79	9	4	-0.330056
78	9	3	-0.799726
77	9	2	-0.59702
76	9	1	-1.22498
75	8	7	-0.712356
74	8	6	-0.662165
73	8	5	-1.8833900000000001
72	8	4	-0.728417
71	8	3	-0.804529
70	8	2	-0.510127
69	8	1	-0.749009
68	7	9	0.788859
67	7	8	1.137725
66	7	7	4.018682
65	7	6	4.830724
64	7	5	3.897464
63	7	4	5.590928
62	7	3	13.226337
61	7	2	17.262031999999998
60	7	1	12.097799
59	6	8	-0.21420100000000003
58	6	7	-1.144191
57	6	6	4.76238
56	6	5	-0.15079700000000001
55	6	4	4.757554
54	6	3	-0.535374
53	6	2	-0.662913
52	6	1	-1.7866939999999998
51	5	14	12.746774
50	5	13	3.712131
49	5	12	3.6414720000000003
48	5	11	3.560954
47	5	10	3.7704269999999998
46	5	9	0.754393
45	5	8	-1.4335200000000001
44	5	7	-1.759802
43	5	6	0.738187
42	5	5	0.435026
41	5	4	-0.100018
40	5	3	-0.02877
39	5	2	0.249218
38	5	1	0.458688
37	4	9	-3.8655739999999996
36	4	8	-9.994102999999999
35	4	7	-10.546913
34	4	6	-8.916871
33	4	5	-4.133089
32	4	4	1.0215
31	4	3	-9.869927
30	4	2	4.785463
29	4	1	-14.626245999999998
28	3	10	-5.415379
27	3	9	18.420361
26	3	8	0.555999
25	3	7	32.669841999999996
24	3	6	5.848273000000001
23	3	5	6.176529
22	3	4	8.449175
21	3	3	14.42285
20	3	2	2.672581
19	3	1	6.715783999999999
18	2	13	-2.001026
17	2	12	-4.409858
16	2	11	-4.530755
15	2	10	-4.458444999999999
14	2	9	-4.618419
13	2	8	-5.99744
12	2	7	-5.922956
11	2	6	-4.00011
10	2	5	-3.6292720000000003
9	2	4	-4.743572
8	2	3	-4.40456
7	2	2	-3.357154
6	2	1	-2.796794
5	1	6	-6.554711999999999
4	1	5	-9.378508
3	1	4	-10.852135
2	1	3	-7.717473
1	1	2	-8.123855
0	1	1	-17.036619
