k	j	i	s	
10	155	6	-1.564920	
10	155	5	-1.582338	
10	154	4	-1.574324	
10	154	3	-1.670767	
10	153	2	-1.632787	
10	153	1	-1.662411	
9	153	9	0.656464	
9	152	8	0.077957	
9	152	7	0.703929	
9	151	6	1.765421	
9	150	5	3.294439	
9	149	4	4.081299	
9	148	3	4.290657	
9	147	3	5.115783	
9	146	2	4.564120	
9	145	2	0.055944	
9	145	1	1.558841	
8	145	7	-1.249936	
8	144	6	-1.008778	
8	144	5	-0.315112	
8	143	4	-2.208792	
8	143	3	-2.464919	
8	142	2	-4.431892	
8	141	2	-2.596488	
8	140	1	-4.535471	
7	140	9	0.138303	
7	139	9	0.771011	
7	139	8	-0.064450	
7	138	7	-1.098337	
7	137	7	-0.541575	
7	136	6	-0.511027	
7	136	5	-0.070970	
7	135	4	5.290338	
7	134	3	12.820458	
7	133	2	3.654775	
7	132	1	10.115193	
6	132	8	1.262114	
6	131	8	-0.386300	
6	130	7	2.671480	
6	129	7	-1.550581	
6	128	6	0.781243	
6	127	6	4.375859	
6	126	5	6.132722	
6	125	4	8.658764	
6	124	3	9.859499	
6	123	2	6.301899	
6	123	1	5.479558	
5	123	14	2.130592	
5	122	13	3.741952	
5	122	12	4.047000	
5	121	11	2.993811	
5	121	10	2.967288	
5	120	9	4.088004	
5	120	8	4.239990	
5	119	7	3.267065	
5	119	6	3.415983	
5	118	5	3.587213	
5	118	4	3.634487	
5	117	3	7.690659	
5	116	2	2.907140	
5	116	1	3.048655	
4	116	9	-0.649671	
4	115	8	0.615260	
4	115	7	2.468738	
4	114	6	3.910151	
4	113	6	0.025658	
4	112	5	2.838064	
4	111	4	9.819025	
4	110	3	51.506985	
4	109	2	22.011272	
4	108	1	45.740498	
3	108	10	3.239007	
3	107	10	4.005408	
3	106	9	42.040314	
3	105	8	14.388927	
3	104	7	42.620262	
3	103	6	-0.414531	
3	103	5	2.003603	
3	102	4	1.152600	
3	102	3	0.747986	
3	101	2	2.565657	
3	101	1	1.116721	
2	101	13	0.918972	
2	100	12	0.110091	
2	100	11	0.056145	
2	99	10	1.514015	
2	99	9	1.164634	
2	98	8	1.773415	
2	98	7	1.668206	
2	97	6	2.103349	
2	97	5	1.915764	
2	96	4	0.805890	
2	96	3	0.304675	
2	95	2	-0.192145	
2	95	1	-0.195454	
1	95	6	6.681270	
1	94	5	15.170496	
1	93	5	1.741857	
1	93	4	0.718651	
1	92	3	0.194660	
1	91	3	28.246517	
1	90	2	-12.092637	
1	89	2	33.579697	
1	88	1	-13.372725	
