k	j	i	s	
10	114	6	-1.786818	
10	114	5	-2.096016	
10	113	4	-1.559281	
10	113	3	-1.833853	
10	112	2	-1.944477	
10	112	1	-1.898062	
9	112	9	0.411848	
9	111	8	1.291909	
9	111	7	1.611680	
9	110	6	2.401732	
9	109	5	5.835297	
9	108	4	2.740869	
9	107	3	5.808595	
9	106	2	2.388910	
9	105	2	0.858935	
9	105	1	2.320504	
8	105	7	0.401110	
8	104	6	1.782855	
8	103	5	0.805422	
8	102	4	0.452499	
8	101	3	0.509953	
8	100	2	1.980730	
8	99	2	0.219429	
8	98	1	1.262669	
7	98	9	0.249914	
7	97	8	-0.730489	
7	97	7	-0.495084	
7	96	6	1.384582	
7	95	6	-0.315228	
7	94	5	2.743728	
7	93	4	3.088099	
7	92	3	10.225208	
7	91	2	3.287219	
7	90	1	8.563873	
6	90	8	7.621954	
6	89	8	5.428235	
6	88	7	0.007597	
6	87	7	6.333115	
6	86	6	7.761311	
6	85	5	7.533035	
6	84	4	9.190728	
6	83	4	5.169545	
6	83	3	5.024983	
6	82	2	12.563339	
6	81	2	6.265022	
6	81	1	5.725707	
5	81	14	3.731399	
5	80	13	3.274859	
5	80	12	3.597679	
5	79	11	3.529835	
5	79	10	3.675429	
5	78	9	3.557332	
5	78	8	3.872111	
5	77	7	4.234060	
5	77	6	4.433961	
5	76	5	8.618693	
5	75	4	10.132823	
5	74	3	8.618861	
5	73	3	9.286541	
5	72	2	2.250483	
5	72	1	2.353898	
4	72	9	-0.801173	
4	71	8	2.955954	
4	71	7	6.191610	
4	70	6	5.617104	
4	69	5	17.151852	
4	68	4	-4.034581	
4	67	4	4.344470	
4	66	3	35.823246	
4	65	2	5.079473	
4	64	1	31.094051	
3	64	10	-0.709324	
3	63	10	-4.862639	
3	62	9	30.200500	
3	61	8	-0.653688	
3	60	7	35.221672	
3	59	6	4.863522	
3	58	5	1.004935	
3	58	4	-1.154344	
3	57	3	2.602647	
3	57	2	2.127612	
3	56	1	-0.211226	
2	56	13	-2.209011	
2	56	12	-3.554583	
2	55	11	-3.252307	
2	55	10	-3.596055	
2	54	9	-4.378557	
2	54	8	-4.509155	
2	53	7	-4.285854	
2	53	6	-4.303740	
2	52	5	-5.546282	
2	52	4	-5.263343	
2	51	3	-6.105540	
2	51	2	-5.232460	
2	50	1	-13.199056	
1	50	6	-1.426905	
1	50	5	0.043702	
1	49	4	-3.480891	
1	49	3	-3.472037	
1	48	2	-2.047125	
1	47	1	-7.179980	
