k	j	i	s	
10	78	6	0.430590	
10	77	6	0.357617	
10	76	5	3.168063	
10	75	5	2.683029	
10	74	4	4.587224	
10	73	4	2.766565	
10	72	3	4.078277	
10	71	3	5.077917	
10	70	2	3.330382	
10	70	1	3.697343	
9	70	9	3.248456	
9	69	8	1.984032	
9	69	7	2.051662	
9	68	6	7.173019	
9	67	6	2.885852	
9	66	5	4.571741	
9	66	4	3.523576	
9	65	3	11.133832	
9	64	2	16.803236	
9	63	2	6.629560	
9	62	1	5.432877	
8	62	7	0.425021	
8	61	7	-2.660621	
8	60	6	-0.177174	
8	60	5	1.388245	
8	59	4	-1.627850	
8	59	3	-2.587647	
8	58	2	-2.009204	
8	58	1	-1.661239	
7	58	9	-3.313958	
7	57	8	-1.293396	
7	57	7	-0.345146	
7	56	6	-3.536077	
7	55	6	-2.153515	
7	54	5	-9.188805	
7	53	5	-7.045868	
7	52	4	-6.806001	
7	51	4	-1.610922	
7	51	3	-2.666661	
7	50	2	-4.317863	
7	49	2	-1.829850	
7	48	1	-1.172011	
6	48	8	6.400989	
6	47	8	12.030105	
6	46	7	6.774195	
6	45	7	14.479169	
6	44	6	13.917093	
6	43	6	10.937033	
6	43	5	10.618070	
6	42	4	8.064898	
6	42	3	6.627223	
6	41	2	5.485773	
6	41	1	6.525524	
5	41	14	7.237949	
5	40	13	6.827939	
5	40	12	6.605368	
5	39	11	7.585547	
5	39	10	7.076226	
5	38	9	7.232690	
5	38	8	7.068447	
5	37	7	6.338828	
5	37	6	6.363863	
5	36	5	7.713636	
5	36	4	7.695623	
5	35	3	7.076221	
5	35	2	7.025525	
5	34	1	11.335161	
4	34	9	3.346799	
4	34	8	4.275012	
4	33	7	5.385624	
4	33	6	9.011471	
4	32	5	24.201029	
4	31	5	7.915331	
4	30	4	7.602003	
4	29	4	-4.854848	
4	28	3	-2.062164	
4	27	3	3.547460	
4	27	2	-13.760889	
4	26	1	-4.585622	
3	26	10	-2.790387	
3	25	10	-1.938322	
3	24	9	15.597548	
3	23	9	12.643216	
3	23	8	3.708071	
3	22	7	23.365974	
3	21	6	10.381630	
3	21	5	7.776434	
3	20	4	6.395975	
3	20	3	4.845591	
3	19	2	9.128243	
3	19	1	6.398108	
2	19	13	4.121498	
2	18	12	2.494820	
2	18	11	2.177876	
2	17	10	1.910898	
2	17	9	1.518671	
2	16	8	0.287961	
2	16	7	0.402197	
2	15	6	-0.851744	
2	15	5	-0.667510	
2	14	4	-1.201661	
2	14	3	-0.764936	
2	13	2	-0.925431	
2	13	1	0.036679	
1	13	6	-0.130026	
1	12	5	0.878774	
1	12	4	4.130765	
1	11	3	-0.921810	
1	11	2	4.134635	
1	10	1	10.644814	
