k	j	i	s	
10	100	6	-3.027564	
10	99	5	-1.931851	
10	99	4	-2.262140	
10	98	3	-1.950679	
10	98	2	-2.314952	
10	97	1	-3.950574	
9	97	9	-1.130611	
9	97	8	-0.491149	
9	96	7	-0.712329	
9	96	6	0.190644	
9	95	5	0.731026	
9	95	4	0.260389	
9	94	3	4.524054	
9	93	3	-0.374453	
9	92	2	2.440089	
9	91	2	-0.283802	
9	91	1	0.985202	
8	91	7	0.502816	
8	90	6	-0.140832	
8	90	5	0.207101	
8	89	4	2.161666	
8	88	3	0.715032	
8	87	3	0.490152	
8	86	2	-0.229111	
8	85	2	-0.525337	
8	84	1	-3.452949	
7	84	9	-3.802789	
7	83	9	-4.098459	
7	82	8	-1.249835	
7	82	7	-1.058569	
7	81	6	-1.822695	
7	80	5	2.764297	
7	79	4	0.670140	
7	78	3	4.829553	
7	77	3	-1.061001	
7	76	2	4.964219	
7	75	2	-3.307896	
7	74	1	-1.518413	
6	74	8	0.790847	
6	73	8	2.754228	
6	72	7	8.414150	
6	71	6	12.354213	
6	70	5	10.188184	
6	69	4	11.824984	
6	68	3	15.049814	
6	67	3	15.873652	
6	66	2	6.463363	
6	66	1	8.536189	
5	66	14	3.117774	
5	65	13	1.386759	
5	65	12	1.924500	
5	64	11	3.001796	
5	64	10	3.185047	
5	63	9	4.412820	
5	63	8	4.568402	
5	62	7	5.500938	
5	62	6	5.617656	
5	61	5	4.823294	
5	61	4	5.000695	
5	60	3	8.829483	
5	59	2	3.989507	
5	59	1	4.157967	
4	59	9	2.621322	
4	58	8	4.045528	
4	58	7	5.956250	
4	57	6	15.724449	
4	56	5	16.379662	
4	55	5	6.743870	
4	54	4	8.000334	
4	53	3	24.324011	
4	52	2	8.553059	
4	51	2	-7.859063	
4	50	1	-29.365231	
3	50	10	-3.256911	
3	49	9	15.602213	
3	48	8	1.663516	
3	47	7	23.894257	
3	46	6	-2.821352	
3	46	5	-1.023611	
3	45	4	-0.513293	
3	45	3	-0.037506	
3	44	2	-0.542825	
3	44	1	-1.021040	
2	44	13	1.983658	
2	43	12	1.523294	
2	43	11	1.571777	
2	42	10	1.951368	
2	42	9	1.914892	
2	41	8	2.719891	
2	41	7	2.877598	
2	40	6	2.762352	
2	40	5	2.989585	
2	39	4	8.109207	
2	38	3	6.620971	
2	37	3	8.266511	
2	36	2	7.245098	
2	35	2	5.477731	
2	34	1	1.468660	
1	34	6	2.095470	
1	34	5	2.443380	
1	33	4	27.554790	
1	32	3	1.280769	
1	31	2	25.342470	
1	30	1	2.882253	
