k	j	i	s	
10	128	6	1.134165	
10	127	6	2.253028	
10	126	5	-0.514280	
10	125	5	2.916036	
10	124	4	-2.614608	
10	123	3	6.074786	
10	122	2	-3.170338	
10	121	2	5.783529	
10	120	1	-1.682085	
9	120	9	3.143567	
9	119	9	9.246783	
9	118	8	7.616573	
9	117	8	9.059742	
9	116	7	2.562372	
9	116	6	1.925929	
9	115	5	4.225416	
9	115	4	4.123680	
9	114	3	4.478669	
9	113	2	1.589294	
9	113	1	2.042125	
8	113	7	1.615999	
8	112	6	2.632832	
8	112	5	3.169641	
8	111	4	2.605208	
8	110	3	1.129975	
8	109	3	0.790745	
8	108	2	5.118788	
8	107	2	1.035210	
8	106	1	2.810441	
7	106	9	1.372373	
7	105	9	1.861081	
7	105	8	1.113214	
7	104	7	0.605255	
7	104	6	1.323587	
7	103	5	2.675018	
7	103	4	3.007312	
7	102	3	7.633654	
7	101	3	9.271114	
7	100	2	3.220299	
7	100	1	3.816241	
6	100	8	3.258034	
6	99	7	11.845938	
6	98	6	13.333488	
6	97	5	15.842039	
6	96	4	15.620812	
6	95	3	13.788578	
6	94	2	16.598396	
6	93	2	7.630416	
6	93	1	7.817066	
5	93	14	1.968723	
5	92	13	5.303014	
5	92	12	5.886717	
5	91	11	4.472066	
5	91	10	4.595469	
5	90	9	4.796011	
5	90	8	4.863379	
5	89	7	3.885224	
5	89	6	3.992953	
5	88	5	7.699366	
5	87	5	1.483955	
5	86	4	2.072626	
5	85	4	0.421701	
5	84	3	3.730901	
5	83	3	-0.136417	
5	82	2	4.186249	
5	81	1	-4.137800	
4	81	9	-1.226056	
4	81	8	-3.868991	
4	80	7	0.589292	
4	80	6	-0.561944	
4	79	5	-11.941427	
4	79	4	-3.949156	
4	78	3	9.636727	
4	77	2	-11.681389	
4	76	1	13.205320	
3	76	10	6.802698	
3	75	9	10.511258	
3	74	8	10.911364	
3	73	7	8.525856	
3	73	6	6.536077	
3	72	5	3.547565	
3	72	4	6.606034	
3	71	3	4.459146	
3	70	2	2.593352	
3	70	1	5.807976	
2	70	13	0.028013	
2	69	12	0.502936	
2	69	11	0.448474	
2	68	10	0.670813	
2	68	9	-0.090399	
2	67	8	-0.347778	
2	67	7	-0.343584	
2	66	6	-1.766559	
2	66	5	-1.424596	
2	65	4	-1.859622	
2	65	3	-1.528841	
2	64	2	-2.241163	
2	64	1	-1.369159	
1	64	6	-5.469059	
1	63	5	1.644630	
1	63	4	8.315523	
1	62	3	-14.197038	
1	61	2	15.429635	
1	60	1	-14.058702	
