k	j	i	s	
10	107	6	-0.288173	
10	107	5	-0.253982	
10	106	4	-0.900059	
10	106	3	-0.897091	
10	105	2	-0.318395	
10	105	1	0.029135	
9	105	9	-0.259141	
9	104	8	-0.738409	
9	104	7	-0.520634	
9	103	6	-0.143312	
9	102	5	1.002109	
9	101	4	2.011835	
9	100	3	2.574705	
9	99	2	2.471740	
9	98	1	2.129517	
8	98	7	3.687554	
8	97	7	3.076954	
8	96	6	0.838793	
8	95	6	-1.236627	
8	94	5	0.143182	
8	93	5	-4.319511	
8	92	4	0.962840	
8	91	4	-2.776602	
8	90	3	0.660712	
8	89	3	0.696073	
8	88	2	2.367093	
8	87	2	3.803488	
8	86	1	3.391620	
7	86	9	2.957868	
7	85	9	5.760704	
7	84	8	6.425477	
7	83	8	8.956018	
7	82	7	8.571503	
7	81	7	10.776292	
7	80	6	10.305943	
7	79	6	12.320332	
7	78	5	13.007138	
7	77	4	12.699434	
7	76	3	10.892022	
7	75	3	9.357616	
7	74	2	5.325250	
7	73	2	1.869469	
7	72	1	0.310360	
6	72	8	0.809030	
6	71	8	5.121514	
6	70	7	6.009529	
6	69	6	6.686401	
6	68	5	5.821232	
6	67	4	7.496164	
6	66	3	8.905464	
6	65	3	9.253384	
6	64	2	3.142240	
6	63	2	0.897560	
6	63	1	2.440147	
5	63	14	1.178399	
5	62	13	-0.173546	
5	62	12	0.170394	
5	61	11	1.873742	
5	61	10	2.001972	
5	60	9	4.318082	
5	59	9	6.192914	
5	58	8	5.955964	
5	57	8	7.777453	
5	56	7	8.395301	
5	55	7	9.399586	
5	54	6	8.386977	
5	53	6	2.126130	
5	52	5	-0.420408	
5	51	5	3.034868	
5	50	4	7.681311	
5	49	4	5.707918	
5	48	3	3.740242	
5	47	3	2.521646	
5	47	2	2.380740	
5	46	1	-2.076868	
4	46	9	1.486923	
4	46	8	3.509432	
4	45	7	19.635647	
4	44	6	-6.949527	
4	43	5	2.334919	
4	43	4	-2.062757	
4	42	3	-18.035046	
4	42	2	-15.141193	
4	41	1	-55.042194	
3	41	10	1.453592	
3	41	9	11.079868	
3	40	8	0.422438	
3	39	7	24.218327	
3	38	6	0.222983	
3	37	6	-0.986668	
3	36	5	6.883755	
3	35	5	3.151660	
3	35	4	3.085448	
3	34	3	6.981785	
3	33	3	4.006348	
3	32	2	2.812845	
3	32	1	3.676388	
2	32	13	-0.432575	
2	31	12	0.141900	
2	31	11	0.087188	
2	30	10	-1.160862	
2	30	9	-1.145597	
2	29	8	-1.358360	
2	29	7	-1.267981	
2	28	6	-1.087133	
2	28	5	-0.901574	
2	27	4	-1.985535	
2	27	3	-1.691834	
2	26	2	-2.713876	
2	25	1	-4.916148	
1	25	6	-1.720147	
1	24	5	-0.766591	
1	24	4	-3.241958	
1	23	3	-2.959999	
1	23	2	-4.425886	
1	22	1	-10.217149	
