k	j	i	s	
10	119	6	5.193172	
10	118	5	0.977836	
10	117	4	4.511604	
10	116	3	2.177175	
10	115	2	3.367979	
10	115	1	3.086126	
9	115	9	0.870176	
9	114	8	0.559226	
9	114	7	0.411003	
9	113	6	1.644516	
9	113	5	1.052925	
9	112	4	-0.094802	
9	112	3	-0.216226	
9	111	2	-0.377247	
9	111	1	-0.696923	
8	111	7	-0.669551	
8	110	6	0.363547	
8	110	5	-0.068101	
8	109	4	-0.912538	
8	109	3	-0.958007	
8	108	2	-0.263780	
8	108	1	-0.222764	
7	108	9	1.419833	
7	107	8	2.406050	
7	106	7	1.658822	
7	106	6	1.509570	
7	105	5	2.122519	
7	104	4	1.866350	
7	103	4	1.290355	
7	102	3	-0.801479	
7	101	3	-1.798820	
7	100	2	-0.717905	
7	99	2	-1.293085	
7	98	1	-2.602024	
6	98	8	-1.584105	
6	98	7	-1.988285	
6	97	6	-2.415991	
6	97	5	-1.891601	
6	96	4	-3.495274	
6	95	4	-1.191561	
6	95	3	-1.255298	
6	94	2	0.099820	
6	94	1	0.130766	
5	94	14	0.391354	
5	93	13	3.616871	
5	92	12	3.100150	
5	91	12	2.184987	
5	90	11	5.826185	
5	89	11	7.649288	
5	88	10	8.011935	
5	87	10	6.620358	
5	86	9	6.300114	
5	85	9	6.688966	
5	84	8	8.763224	
5	83	8	6.987861	
5	82	7	9.299549	
5	81	7	6.253066	
5	80	6	6.013761	
5	79	6	8.094247	
5	78	5	9.621179	
5	77	5	0.879449	
5	76	4	0.480527	
5	75	4	3.685091	
5	74	3	5.681815	
5	73	3	1.896022	
5	72	2	7.872585	
5	71	2	1.987625	
5	71	1	2.136862	
4	71	9	0.997900	
4	70	8	7.197295	
4	70	7	10.280283	
4	69	6	-0.764040	
4	68	5	-1.157764	
4	68	4	-2.745292	
4	67	3	-18.226002	
4	67	2	-21.598293	
4	66	1	-49.762264	
3	66	10	1.613370	
3	66	9	11.507867	
3	65	8	-1.555781	
3	64	7	22.198553	
3	63	6	-1.590873	
3	62	5	-1.168152	
3	62	4	-1.101379	
3	61	3	-1.994274	
3	61	2	-1.724083	
3	60	1	-2.599777	
2	60	13	-0.820734	
2	60	12	-1.577049	
2	59	11	-1.728601	
2	59	10	-1.470593	
2	58	9	-1.438865	
2	58	8	-1.602365	
2	57	7	-1.867000	
2	57	6	-2.139942	
2	56	5	-2.522648	
2	56	4	-2.589699	
2	55	3	-1.255632	
2	55	2	-0.787417	
2	54	1	-3.336174	
1	54	6	-2.057663	
1	54	5	-1.350575	
1	53	4	1.066702	
1	52	3	0.254232	
1	51	2	3.617044	
1	50	1	-1.507083	
