k	j	i	s	
10	108	6	-0.543676	
10	108	5	-0.461441	
10	107	4	-0.455522	
10	107	3	-0.155369	
10	106	2	-0.629976	
10	105	1	-0.771088	
9	105	9	4.189336	
9	104	8	3.459700	
9	103	7	7.531702	
9	102	6	8.990537	
9	101	5	4.434588	
9	100	4	4.982976	
9	99	3	3.895265	
9	98	2	7.728706	
9	97	2	-0.394243	
9	96	1	-1.064266	
8	96	7	-6.157582	
8	95	7	-2.559299	
8	94	6	-0.445751	
8	93	5	-1.919210	
8	92	4	-2.353032	
8	91	4	-2.558303	
8	90	3	-0.244353	
8	89	3	-0.188705	
8	88	2	2.037865	
8	87	2	-0.566013	
8	87	1	0.427751	
7	87	9	-2.009315	
7	86	8	4.505844	
7	85	7	-1.718288	
7	85	6	-1.853818	
7	84	5	0.772741	
7	84	4	0.397639	
7	83	3	-1.889255	
7	82	2	1.250749	
7	81	1	-2.942596	
6	81	8	-1.673677	
6	80	7	-1.114216	
6	79	7	-3.514039	
6	78	6	-2.031383	
6	77	6	-0.578692	
6	76	5	4.040336	
6	75	5	4.034636	
6	74	4	2.916957	
6	74	3	2.805481	
6	73	2	2.794884	
6	73	1	2.199388	
5	73	14	2.048877	
5	72	13	1.475481	
5	72	12	1.531855	
5	71	11	1.802181	
5	71	10	1.666617	
5	70	9	2.337980	
5	70	8	2.348938	
5	69	7	2.297807	
5	69	6	2.304929	
5	68	5	2.724580	
5	68	4	2.804040	
5	67	3	2.504422	
5	67	2	2.616149	
5	66	1	3.956701	
4	66	9	0.389856	
4	66	8	1.365096	
4	65	7	2.547179	
4	65	6	0.956186	
4	64	5	11.389290	
4	63	4	8.839851	
4	62	3	-13.477960	
4	61	2	-4.007689	
4	60	1	-15.093973	
3	60	10	-8.317047	
3	59	10	-1.312145	
3	58	9	-14.714993	
3	57	9	9.879716	
3	56	8	-0.688627	
3	55	7	7.189189	
3	54	6	-4.649999	
3	53	5	-1.126159	
3	52	4	-2.234952	
3	52	3	-2.446290	
3	51	2	0.448818	
3	50	1	-7.609674	
2	50	13	5.729694	
2	49	12	8.120802	
2	48	11	8.075126	
2	47	11	10.435257	
2	46	10	4.383685	
2	46	9	4.223489	
2	45	8	4.680731	
2	45	7	4.610776	
2	44	6	3.702301	
2	44	5	3.465683	
2	43	4	2.960751	
2	43	3	2.863545	
2	42	2	2.118322	
2	42	1	2.266198	
1	42	6	1.671247	
1	41	5	0.054289	
1	41	4	-1.072136	
1	40	3	6.982055	
1	39	3	2.658018	
1	38	2	4.753391	
1	37	1	-2.450142	
