	k	i	s
90	10	6	-4.4322919999999995
89	10	5	-3.558496
88	10	4	-3.6169879999999996
87	10	3	-2.5260860000000003
86	10	2	-2.5533189999999997
85	10	1	-8.552565
84	9	9	-2.641762
83	9	8	-2.424645
82	9	7	-2.163693
81	9	6	-4.6466389999999995
80	9	5	-4.149942
79	9	4	-3.4543489999999997
78	9	3	-2.23995
77	9	2	0.586638
76	9	1	1.868393
75	8	7	1.004326
74	8	6	0.004632
73	8	5	0.588511
72	8	4	1.787555
71	8	3	-0.582198
70	8	2	-2.232576
69	8	1	-2.27592
68	7	9	-3.130464
67	7	8	-4.5432440000000005
66	7	7	-2.1349099999999996
65	7	6	-2.964864
64	7	5	-2.349575
63	7	4	-2.996522
62	7	3	-2.489052
61	7	2	-1.736462
60	7	1	-3.004957
59	6	8	7.565856
58	6	7	13.736293
57	6	6	3.16761
56	6	5	2.515716
55	6	4	2.328259
54	6	3	3.8721339999999995
53	6	2	-1.2717159999999998
52	6	1	-4.702914
51	5	14	-0.9032239999999999
50	5	13	-2.639031
49	5	12	-2.877209
48	5	11	-0.5126609999999998
47	5	10	1.879696
46	5	9	3.480506
45	5	8	1.4723950000000001
44	5	7	2.853474
43	5	6	3.9152000000000005
42	5	5	5.722482
41	5	4	7.678818999999999
40	5	3	12.859836
39	5	2	11.220486
38	5	1	3.662585
37	4	9	1.62657
36	4	8	2.253209
35	4	7	6.669084
34	4	6	24.694363
33	4	5	16.515553
32	4	4	21.597326
31	4	3	46.955341
30	4	2	6.83444
29	4	1	33.099365
28	3	10	-0.23458599999999974
27	3	9	28.312437
26	3	8	7.157911
25	3	7	38.914768
24	3	6	3.990448
23	3	5	6.8027429999999995
22	3	4	1.8330330000000001
21	3	3	3.349457
20	3	2	9.631182
19	3	1	1.22015
18	2	13	-1.565898
17	2	12	2.543189
16	2	11	2.029584
15	2	10	0.267165
14	2	9	-0.390151
13	2	8	-1.573744
12	2	7	-2.080757
11	2	6	-2.61205
10	2	5	-2.535096
9	2	4	-2.9927599999999996
8	2	3	-3.180369
7	2	2	-2.057972
6	2	1	-2.072995
5	1	6	-2.5521689999999997
4	1	5	-2.996989
3	1	4	-7.2541839999999995
2	1	3	-9.339917999999999
1	1	2	-3.749786
0	1	1	-13.425679999999998
