	k	i	s
90	10	6	-0.371794
89	10	5	0.32871300000000003
88	10	4	-3.528255
87	10	3	-3.580724
86	10	2	-1.096635
85	10	1	-1.506991
84	9	9	-1.32059
83	9	8	-0.967751
82	9	7	-0.734776
81	9	6	-0.6120220000000001
80	9	5	-0.45937
79	9	4	-3.9776620000000005
78	9	3	-2.914119
77	9	2	-3.6529309999999997
76	9	1	-6.921036999999999
75	8	7	-2.036125
74	8	6	-2.529729
73	8	5	0.35998800000000003
72	8	4	0.8687790000000001
71	8	3	-2.534164
70	8	2	-2.358837
69	8	1	-0.094997
68	7	9	6.136432
67	7	8	0.366541
66	7	7	-0.506213
65	7	6	1.135062
64	7	5	0.434874
63	7	4	-2.505516
62	7	3	-4.010598
61	7	2	0.934193
60	7	1	-0.24460300000000001
59	6	8	4.365605
58	6	7	8.255161
57	6	6	8.593355
56	6	5	7.2186449999999995
55	6	4	9.901303
54	6	3	6.267945
53	6	2	5.9305
52	6	1	4.769818
51	5	14	0.155407
50	5	13	2.277227
49	5	12	2.442415
48	5	11	8.768487
47	5	10	14.062102
46	5	9	13.479032
45	5	8	4.544926
44	5	7	5.782474000000001
43	5	6	5.893876000000001
42	5	5	6.058062
41	5	4	8.643768
40	5	3	9.249832999999999
39	5	2	12.029109
38	5	1	3.5542300000000004
37	4	9	0.904517
36	4	8	3.134003
35	4	7	3.18349
34	4	6	8.79213
33	4	5	27.111270000000005
32	4	4	6.317057
31	4	3	1.194948
30	4	2	-6.656445
29	4	1	-10.276641999999999
28	3	10	5.615697
27	3	9	26.20048
26	3	8	7.568865
25	3	7	23.655483
24	3	6	-1.2646469999999999
23	3	5	-2.3761349999999997
22	3	4	1.536709
21	3	3	-3.749887
20	3	2	-0.870482
19	3	1	1.8456919999999999
18	2	13	-0.362688
17	2	12	-2.10436
16	2	11	-2.3343529999999997
15	2	10	-1.6244299999999998
14	2	9	-1.8235700000000001
13	2	8	-3.825713
12	2	7	-4.096724
11	2	6	-2.867177
10	2	5	-3.227398
9	2	4	-3.788583
8	2	3	-4.053413
7	2	2	-3.6379610000000002
6	2	1	-3.472008
5	1	6	-2.295305
4	1	5	-6.677152
3	1	4	-10.576979
2	1	3	-7.111447
1	1	2	-5.091203
0	1	1	-18.107374
