	k	i	s
90	10	6	-1.144379
89	10	5	-1.591002
88	10	4	-2.6152450000000003
87	10	3	-0.44554799999999994
86	10	2	-0.951571
85	10	1	-6.508691000000001
84	9	9	-1.125898
83	9	8	-0.015463
82	9	7	-1.551917
81	9	6	-1.224019
80	9	5	0.392
79	9	4	0.503925
78	9	3	-2.072331
77	9	2	-1.901198
76	9	1	-3.875368
75	8	7	-2.737586
74	8	6	-3.114538
73	8	5	-1.789636
72	8	4	-1.698216
71	8	3	-4.8841849999999996
70	8	2	-3.3306329999999997
69	8	1	-3.5238449999999997
68	7	9	2.435202
67	7	8	-1.400233
66	7	7	0.587953
65	7	6	-0.42075100000000004
64	7	5	-1.580371
63	7	4	-2.45859
62	7	3	0.44650100000000004
61	7	2	0.555918
60	7	1	-6.125304
59	6	8	7.134879
58	6	7	8.898572999999999
57	6	6	12.587479
56	6	5	6.994917
55	6	4	10.052821
54	6	3	7.466736000000001
53	6	2	2.557858
52	6	1	-2.801724
51	5	14	-1.157609
50	5	13	-0.49096899999999993
49	5	12	-1.9324849999999998
48	5	11	-3.4632110000000003
47	5	10	-0.34734799999999993
46	5	9	3.152101
45	5	8	7.915982
44	5	7	11.691431000000001
43	5	6	12.409446
42	5	5	10.863533
41	5	4	7.781645000000001
40	5	3	10.185213000000001
39	5	2	14.213906
38	5	1	8.075069000000001
37	4	9	20.980885999999998
36	4	8	14.337329
35	4	7	15.474128
34	4	6	15.593525
33	4	5	25.119171
32	4	4	6.950317
31	4	3	17.295626000000002
30	4	2	2.187384999999999
29	4	1	-8.474839999999999
28	3	10	2.187366
27	3	9	14.992142000000001
26	3	8	8.20883
25	3	7	12.388047
24	3	6	6.252006
23	3	5	-1.491606
22	3	4	-2.77012
21	3	3	-2.075949
20	3	2	-1.593234
19	3	1	-1.8621
18	2	13	-1.4348610000000002
17	2	12	-2.782874
16	2	11	-3.125629
15	2	10	-3.542954
14	2	9	-2.605166
13	2	8	-2.909062
12	2	7	-2.522243
11	2	6	-2.890762
10	2	5	-1.824639
9	2	4	-2.04367
8	2	3	-3.3636449999999996
7	2	2	-3.8357940000000004
6	2	1	-9.287722
5	1	6	2.568232
4	1	5	-1.3907049999999999
3	1	4	-4.201675
2	1	3	-2.853815
1	1	2	-4.010806
0	1	1	-8.876535
