	k	i	s
90	10	6	1.622217
89	10	5	8.284143
88	10	4	5.6194049999999995
87	10	3	7.426272
86	10	2	7.6769609999999995
85	10	1	3.308449
84	9	9	2.616588
83	9	8	0.8856510000000001
82	9	7	1.856339
81	9	6	2.38325
80	9	5	1.8352709999999999
79	9	4	13.159867
78	9	3	10.166972
77	9	2	11.517373
76	9	1	4.06464
75	8	7	6.341274
74	8	6	2.8650450000000003
73	8	5	6.405158999999999
72	8	4	11.800304999999998
71	8	3	7.728112
70	8	2	10.174267999999998
69	8	1	4.7321919999999995
68	7	9	13.289622
67	7	8	3.4180300000000003
66	7	7	3.8228980000000004
65	7	6	4.427791
64	7	5	9.729438
63	7	4	13.311472
62	7	3	22.573667999999998
61	7	2	36.674884999999996
60	7	1	16.173891
59	6	8	20.007756
58	6	7	6.646064999999999
57	6	6	5.172027
56	6	5	3.349995
55	6	4	0.36361
54	6	3	0.811317
53	6	2	-2.5974060000000003
52	6	1	-2.0089240000000004
51	5	14	3.48369
50	5	13	1.68642
49	5	12	1.7389279999999998
48	5	11	3.945853
47	5	10	3.4388120000000004
46	5	9	3.339405
45	5	8	3.775548
44	5	7	3.5810519999999997
43	5	6	3.6492699999999996
42	5	5	3.7263370000000005
41	5	4	4.90367
40	5	3	5.0326379999999995
39	5	2	5.7619050000000005
38	5	1	5.819024
37	4	9	4.026398
36	4	8	4.499512999999999
35	4	7	6.945917
34	4	6	26.287024
33	4	5	25.685041000000002
32	4	4	32.05032
31	4	3	27.713070000000002
30	4	2	18.083267000000003
29	4	1	12.348063
28	3	10	2.552294
27	3	9	-7.833902
26	3	8	-0.6034229999999999
25	3	7	3.7983059999999997
24	3	6	5.193621
23	3	5	3.754144
22	3	4	1.71315
21	3	3	6.3278099999999995
20	3	2	5.727562
19	3	1	-3.814864
18	2	13	-3.337306
17	2	12	-5.0457220000000005
16	2	11	-5.114821
15	2	10	-5.471535
14	2	9	-5.918856
13	2	8	-6.219664
12	2	7	-6.147983
11	2	6	-6.24222
10	2	5	-6.769947999999999
9	2	4	-6.884991
8	2	3	-6.275383000000001
7	2	2	-6.146877
6	2	1	-10.115125
5	1	6	-3.029442
4	1	5	-3.06071
3	1	4	-1.092777
2	1	3	-1.098416
1	1	2	0.35893
0	1	1	-1.164944
