	k	i	s
90	10	6	3.0558060000000005
89	10	5	0.628397
88	10	4	0.873207
87	10	3	-0.399994
86	10	2	-0.301051
85	10	1	-0.5419689999999999
84	9	9	0.11920499999999999
83	9	8	-0.659665
82	9	7	0.34720300000000004
81	9	6	1.2758180000000001
80	9	5	0.088783
79	9	4	0.830839
78	9	3	0.460591
77	9	2	0.42086599999999996
76	9	1	0.7231989999999999
75	8	7	5.884747
74	8	6	-1.16239
73	8	5	3.0842009999999997
72	8	4	10.505923
71	8	3	10.627696
70	8	2	9.028662
69	8	1	2.0268490000000003
68	7	9	0.046624
67	7	8	0.34868499999999997
66	7	7	0.38016
65	7	6	3.3903489999999996
64	7	5	-0.25917900000000027
63	7	4	1.632441
62	7	3	11.336824
61	7	2	8.37122
60	7	1	8.159905
59	6	8	17.777849
58	6	7	27.37196
57	6	6	16.389623999999998
56	6	5	12.857388
55	6	4	8.411936
54	6	3	6.675014
53	6	2	6.513446
52	6	1	4.498396
51	5	14	0.045408
50	5	13	0.514692
49	5	12	0.6908310000000001
48	5	11	-0.851985
47	5	10	-0.9574299999999999
46	5	9	-0.428737
45	5	8	-0.312906
44	5	7	-0.39427199999999996
43	5	6	-0.213862
42	5	5	0.290596
41	5	4	0.322121
40	5	3	0.9703370000000001
39	5	2	1.136095
38	5	1	-1.208826
37	4	9	0.181273
36	4	8	2.1306
35	4	7	-0.268838
34	4	6	2.650639
33	4	5	11.478146
32	4	4	3.154299
31	4	3	15.402863
30	4	2	2.244811
29	4	1	8.262391000000001
28	3	10	-0.694542
27	3	9	9.252767
26	3	8	3.0491580000000003
25	3	7	6.005237999999999
24	3	6	5.634275
23	3	5	5.8737699999999995
22	3	4	6.265055
21	3	3	13.883997
20	3	2	6.706122
19	3	1	5.066364
18	2	13	-0.45686800000000005
17	2	12	-0.676108
16	2	11	-0.635371
15	2	10	-1.758835
14	2	9	-1.99216
13	2	8	-2.514577
12	2	7	-2.508074
11	2	6	-2.71572
10	2	5	-2.624832
9	2	4	-4.683594
8	2	3	-4.003141
7	2	2	-3.242235
6	2	1	-2.2059130000000002
5	1	6	-2.23298
4	1	5	1.889407
3	1	4	0.93042
2	1	3	-2.519326
1	1	2	-2.228225
0	1	1	-7.701471000000001
