	k	i	s
90	10	6	-1.1960309999999998
89	10	5	-0.348394
88	10	4	-0.9169780000000001
87	10	3	0.251772
86	10	2	0.101865
85	10	1	-1.343164
84	9	9	6.959607
83	9	8	0.782061
82	9	7	1.0859729999999999
81	9	6	1.5109700000000001
80	9	5	1.630514
79	9	4	1.641873
78	9	3	1.555734
77	9	2	7.970364999999999
76	9	1	2.528115
75	8	7	5.480263
74	8	6	1.120735
73	8	5	3.44452
72	8	4	0.294707
71	8	3	0.312552
70	8	2	0.112785
69	8	1	1.0188540000000001
68	7	9	-0.7165239999999999
67	7	8	-1.9363989999999998
66	7	7	-0.10547100000000001
65	7	6	4.825685
64	7	5	7.519299999999999
63	7	4	3.207109
62	7	3	25.594060999999996
61	7	2	4.39794
60	7	1	6.996227
59	6	8	2.276508
58	6	7	-1.184827
57	6	6	-3.911593
56	6	5	-1.6490900000000002
55	6	4	-4.51089
54	6	3	-6.021989
53	6	2	-10.31942
52	6	1	-16.124264
51	5	14	1.40431
50	5	13	0.254056
49	5	12	-1.522027
48	5	11	-1.0503040000000001
47	5	10	1.0216180000000001
46	5	9	0.701026
45	5	8	1.541233
44	5	7	1.504687
43	5	6	1.319895
42	5	5	1.311013
41	5	4	2.362441
40	5	3	2.184083
39	5	2	1.038877
38	5	1	1.4473690000000001
37	4	9	2.578259
36	4	8	4.358601999999999
35	4	7	11.76672
34	4	6	4.760796
33	4	5	6.2812209999999995
32	4	4	23.157976
31	4	3	3.3988080000000003
30	4	2	22.314648000000002
29	4	1	8.236419999999999
28	3	10	-0.132997
27	3	9	-3.6804059999999996
26	3	8	-1.421627
25	3	7	10.841164
24	3	6	2.490554
23	3	5	5.6753599999999995
22	3	4	2.597136
21	3	3	2.078112
20	3	2	11.12956
19	3	1	2.870935
18	2	13	1.160903
17	2	12	3.523303
16	2	11	2.9114169999999997
15	2	10	-0.5553359999999999
14	2	9	-1.271228
13	2	8	-2.6064540000000003
12	2	7	-2.83026
11	2	6	-2.137274
10	2	5	-1.82855
9	2	4	-2.013537
8	2	3	-1.698991
7	2	2	-2.593964
6	2	1	-2.190611
5	1	6	-5.27785
4	1	5	-4.874368
3	1	4	-1.407861
2	1	3	-7.2771479999999995
1	1	2	-7.401066999999999
0	1	1	-5.499619
