k	j	i	s	
10	129	6	-0.786763	
10	129	5	-0.833857	
10	128	4	-0.823443	
10	128	3	-0.812448	
10	127	2	0.561631	
10	127	1	0.674897	
9	127	9	-2.085737	
9	126	8	1.525017	
9	126	7	1.565950	
9	125	6	3.790624	
9	124	5	9.312468	
9	123	4	7.143457	
9	122	3	10.204337	
9	121	2	4.662679	
9	121	1	3.719842	
8	121	7	1.631639	
8	120	6	10.089165	
8	119	6	-2.975656	
8	118	5	2.458605	
8	117	5	1.187323	
8	116	4	2.092702	
8	115	4	3.254252	
8	114	3	3.133237	
8	113	3	3.875963	
8	112	2	4.811400	
8	111	2	3.426410	
8	111	1	2.996717	
7	111	9	-0.229325	
7	110	8	-0.730528	
7	110	7	-0.396189	
7	109	6	4.217241	
7	108	5	4.019563	
7	107	5	3.566599	
7	106	4	7.246543	
7	105	3	8.305062	
7	104	2	11.858097	
7	103	2	4.744375	
7	102	1	3.577304	
6	102	8	1.435636	
6	101	8	4.506571	
6	100	7	4.180986	
6	99	7	2.491101	
6	99	6	1.869880	
6	98	5	0.289714	
6	98	4	-1.554497	
6	97	3	0.372886	
6	97	2	-0.359913	
6	96	1	1.559381	
5	96	14	-1.121873	
5	96	13	-1.075428	
5	95	12	-3.033667	
5	95	11	-2.139454	
5	94	10	-1.609333	
5	94	9	-2.174356	
5	93	8	-1.341164	
5	93	7	-1.695530	
5	92	6	-2.330220	
5	92	5	-2.586011	
5	91	4	-2.950304	
5	91	3	-3.050203	
5	90	2	-1.479440	
5	90	1	-1.489575	
4	90	9	-2.663122	
4	89	8	-3.565116	
4	89	7	-4.569200	
4	88	6	-11.019890	
4	88	5	-4.650778	
4	87	4	-3.196273	
4	87	3	-2.153814	
4	86	2	1.152855	
4	85	1	-5.777831	
3	85	10	-1.683042	
3	85	9	-3.081805	
3	84	8	-3.289697	
3	84	7	-4.520459	
3	83	6	3.117942	
3	83	5	2.988063	
3	82	4	-2.076083	
3	82	3	-1.001176	
3	81	2	1.877011	
3	81	1	0.809768	
2	81	13	1.441893	
2	80	12	1.385837	
2	80	11	1.528216	
2	79	10	5.447129	
2	78	9	2.171774	
2	78	8	2.237938	
2	77	7	2.049689	
2	77	6	2.052351	
2	76	5	2.059422	
2	76	4	2.131501	
2	75	3	3.719491	
2	74	2	1.905882	
2	74	1	1.510260	
1	74	6	1.163600	
1	73	5	5.605567	
1	72	4	49.288658	
1	71	3	14.702675	
1	70	2	49.667324	
1	69	2	7.042843	
1	68	1	20.341120	
