k	j	i	s	
10	40	6	3.070596	
10	39	6	3.189861	
10	38	5	8.047092	
10	37	5	4.918849	
10	36	4	8.621803	
10	35	4	4.013876	
10	35	3	3.671768	
10	34	2	3.954827	
10	34	1	3.991648	
9	34	9	2.645372	
9	33	8	3.023863	
9	33	7	3.578425	
9	32	6	4.470910	
9	31	6	3.167744	
9	30	5	0.744035	
9	29	4	2.017818	
9	28	3	0.190047	
9	28	2	0.110013	
9	27	1	0.253954	
8	27	7	-0.743976	
8	27	6	-0.058718	
8	26	5	1.004135	
8	26	4	0.815959	
8	25	3	0.997737	
8	25	2	0.592707	
8	24	1	-1.593047	
7	24	9	2.698818	
7	23	9	3.901645	
7	22	8	3.870069	
7	21	7	4.248701	
7	20	6	5.810930	
7	19	6	4.501647	
7	18	5	2.135343	
7	17	5	-0.971167	
7	16	4	0.491265	
7	15	4	-0.586346	
7	14	3	3.166643	
7	13	3	-4.407370	
7	12	2	1.846462	
7	11	2	3.327849	
7	10	1	-2.332343	
6	10	8	-7.922054	
6	9	7	-6.009117	
6	9	6	-6.111217	
6	8	5	-7.885673	
6	8	4	-8.608525	
6	7	3	-7.258824	
6	7	2	-7.322035	
6	6	1	-17.508125	
5	6	14	-7.646066	
5	5	13	-14.481929	
5	4	13	-10.935049	
5	4	1	-13.422619	
4	4	9	-9.870625	
4	4	1	-44.206520	
3	4	10	-9.412289	
3	4	1	-11.733161	
2	4	13	-11.069315	
2	4	1	-13.382909	
1	4	6	-14.345547	
1	4	1	-13.504934	
