k	j	i	s	
10	139	6	-5.784729	
10	138	5	-1.821700	
10	138	4	-2.311497	
10	137	3	-1.750914	
10	137	2	-1.911474	
10	136	1	-2.227243	
9	136	9	6.165940	
9	135	9	7.856600	
9	134	8	11.623817	
9	133	7	12.937485	
9	132	6	6.950788	
9	132	5	7.517009	
9	131	4	11.565726	
9	130	3	14.101119	
9	129	3	7.395614	
9	128	2	13.052361	
9	127	2	6.551536	
9	126	1	0.319412	
8	126	7	5.849815	
8	125	7	2.608115	
8	125	6	2.548056	
8	124	5	4.705708	
8	123	4	5.857513	
8	122	3	3.856956	
8	121	3	4.621948	
8	120	2	1.483335	
8	119	2	0.678659	
8	119	1	0.380424	
7	119	9	-1.576709	
7	118	8	-1.421990	
7	118	7	-0.802845	
7	117	6	-0.100411	
7	116	5	1.259199	
7	115	4	5.081964	
7	114	3	5.052924	
7	113	3	6.940349	
7	112	2	6.667246	
7	111	2	3.873630	
7	110	1	0.316693	
6	110	8	1.133976	
6	109	8	3.742559	
6	108	7	-3.447652	
6	107	7	3.461249	
6	106	6	10.917760	
6	105	5	13.455327	
6	104	4	12.453847	
6	103	4	5.132991	
6	103	3	4.945208	
6	102	2	13.897703	
6	101	2	5.922132	
6	101	1	6.377185	
5	101	14	1.987463	
5	100	13	2.254561	
5	100	12	2.687435	
5	99	11	3.871076	
5	99	10	4.116013	
5	98	9	4.597210	
5	98	8	4.753476	
5	97	7	5.355117	
5	97	6	5.451538	
5	96	5	10.696817	
5	95	4	11.576733	
5	94	3	9.063189	
5	93	3	10.395613	
5	92	2	4.503491	
5	92	1	4.476986	
4	92	9	1.875975	
4	91	8	4.836194	
4	90	7	17.716093	
4	89	6	14.495179	
4	88	5	30.615044	
4	87	4	21.653158	
4	86	3	19.327705	
4	85	2	16.296707	
4	84	1	15.941240	
3	84	10	-5.683695	
3	83	9	11.929311	
3	82	8	-6.357973	
3	81	7	22.978859	
3	80	6	4.363508	
3	80	5	4.666811	
3	79	4	11.532787	
3	78	3	8.588016	
3	77	2	3.674267	
3	77	1	4.038719	
2	77	13	0.980509	
2	76	12	1.237891	
2	75	11	1.842294	
2	75	10	1.221278	
2	74	9	1.936424	
2	74	8	1.727195	
2	73	7	1.877506	
2	73	6	1.949429	
2	72	5	1.911142	
2	72	4	1.368965	
2	71	3	-0.998199	
2	71	2	-1.699103	
2	70	1	-2.815542	
1	70	6	13.013098	
1	69	6	11.010536	
1	68	5	10.178419	
1	67	5	9.406651	
1	66	4	9.580276	
1	65	3	19.856386	
1	64	2	14.057129	
1	63	2	17.853348	
1	62	1	11.411664	
