k	j	i	s	
10	58	6	-2.046205	
10	57	5	-4.133147	
10	57	4	-5.276946	
10	56	3	-2.221917	
10	56	2	-2.604357	
10	55	1	-13.685816	
9	55	9	-4.433808	
9	55	8	-5.523648	
9	54	7	-4.824695	
9	54	6	-4.366070	
9	53	5	-6.640243	
9	53	4	-5.668790	
9	52	3	-4.318239	
9	52	2	-3.528863	
9	51	1	-5.947157	
8	51	7	-1.260478	
8	51	6	-3.304238	
8	50	5	-1.847723	
8	50	4	-0.955715	
8	49	3	-2.240144	
8	49	2	-2.992140	
8	48	1	-2.934506	
7	48	9	-1.799935	
7	48	8	-2.496007	
7	47	7	-5.102278	
7	47	6	-5.635144	
7	46	5	-2.740749	
7	46	4	-2.139540	
7	45	3	-4.902075	
7	45	2	-3.649197	
7	44	1	-7.667021	
6	44	8	-2.580808	
6	44	7	-1.184940	
6	43	6	-2.575893	
6	43	5	-1.033172	
6	42	4	-3.637093	
6	41	3	-0.253899	
6	41	2	-1.057718	
6	40	1	-1.962093	
5	40	14	-0.269686	
5	39	14	-0.011795	
5	39	13	-1.138638	
5	38	12	-0.450384	
5	38	11	-0.708296	
5	37	10	-0.928673	
5	37	9	-0.952975	
5	36	8	-0.718720	
5	36	7	-0.633915	
5	35	6	0.129626	
5	35	5	0.052391	
5	34	4	2.702288	
5	34	3	2.712433	
5	33	2	2.259937	
5	33	1	2.258854	
4	33	9	3.064727	
4	32	8	1.860362	
4	32	7	3.549883	
4	31	6	18.933701	
4	30	5	16.478909	
4	29	4	21.921452	
4	28	3	19.116976	
4	27	2	27.130655	
4	26	1	13.572946	
3	26	10	3.026424	
3	25	10	-0.348465	
3	24	9	7.971944	
3	23	8	-1.917719	
3	22	7	1.909389	
3	22	6	-0.366792	
3	21	5	-1.803278	
3	21	4	-2.894682	
3	20	3	-3.980347	
3	20	2	-3.478153	
3	19	1	-8.252290	
2	19	13	-0.198398	
2	19	12	-0.537567	
2	18	11	-1.706332	
2	18	10	-0.904892	
2	17	9	0.309967	
2	16	8	-1.877977	
2	15	7	1.180520	
2	15	6	1.167053	
2	14	5	2.443378	
2	13	5	3.463457	
2	12	4	4.158515	
2	11	4	6.419214	
2	10	3	5.507760	
2	9	3	5.522531	
2	8	2	2.602553	
2	8	1	2.404531	
1	8	6	1.005643	
1	7	5	12.218855	
1	6	4	26.267847	
1	5	3	17.900084	
1	4	3	8.902908	
1	4	1	18.651726	
