k	j	i	s	
10	122	6	2.161219	
10	121	6	-0.145742	
10	121	5	-0.203845	
10	120	4	1.005231	
10	120	3	1.242967	
10	119	2	1.059885	
10	119	1	1.047814	
9	119	9	1.689845	
9	118	8	2.456773	
9	117	7	3.223181	
9	116	6	0.042449	
9	116	5	-0.134216	
9	115	4	1.373147	
9	114	3	0.491323	
9	113	3	-2.167433	
9	112	2	-1.262986	
9	111	2	-6.802711	
9	110	1	-5.988110	
8	110	7	-3.608518	
8	109	7	-4.649917	
8	108	6	-7.728173	
8	107	5	-5.055257	
8	106	4	-8.192857	
8	105	3	-3.722991	
8	105	2	-4.666003	
8	104	1	-10.398257	
7	104	9	-3.161532	
7	104	8	-4.681399	
7	103	7	-4.359382	
7	103	6	-3.901623	
7	102	5	-3.689243	
7	102	4	-4.962008	
7	101	3	-5.134345	
7	101	2	-5.466856	
7	100	1	-7.490098	
6	100	8	-1.159268	
6	99	8	0.316057	
6	98	7	2.511482	
6	97	6	2.951080	
6	96	5	6.207400	
6	95	5	7.009478	
6	94	4	9.618654	
6	93	3	9.944993	
6	92	2	6.481770	
6	92	1	5.640380	
5	92	14	2.379493	
5	91	13	2.484119	
5	91	12	2.851864	
5	90	11	2.413427	
5	90	10	2.369759	
5	89	9	2.432204	
5	89	8	2.445709	
5	88	7	3.173619	
5	88	6	3.218661	
5	87	5	3.417226	
5	87	4	3.557887	
5	86	3	3.558032	
5	86	2	3.621233	
5	85	1	5.148767	
4	85	9	2.130950	
4	85	8	2.926346	
4	84	7	8.473556	
4	84	6	11.417171	
4	83	5	21.696987	
4	82	4	26.142029	
4	81	3	37.155357	
4	80	2	14.685968	
4	79	2	5.888386	
4	79	1	18.499325	
3	79	10	2.670644	
3	78	9	3.886260	
3	77	9	14.453930	
3	76	8	-4.355259	
3	75	7	17.413851	
3	74	6	0.103613	
3	73	6	-2.393667	
3	72	5	0.799206	
3	71	5	4.549780	
3	70	4	8.153087	
3	69	3	5.602029	
3	68	2	4.334905	
3	68	1	3.803373	
2	68	13	-0.581305	
2	67	12	-4.001934	
2	67	11	-4.373448	
2	66	10	-2.232567	
2	66	9	-2.540968	
2	65	8	-3.605999	
2	65	7	-3.840620	
2	64	6	-1.593045	
2	64	5	-1.290250	
2	63	4	-4.302994	
2	63	3	-3.900915	
2	62	2	-2.686656	
2	62	1	-1.544673	
1	62	6	-5.826412	
1	61	5	-6.157942	
1	61	4	-9.503259	
1	60	3	-9.473626	
1	60	2	-7.529295	
1	59	1	-19.583378	
