k	j	i	s	
10	94	6	0.070630	
10	93	6	-0.493821	
10	92	5	-1.344407	
10	92	4	-1.547338	
10	91	3	-1.310804	
10	91	2	-1.339512	
10	90	1	-3.275373	
9	90	9	-2.128747	
9	90	8	-2.278911	
9	89	7	-2.462070	
9	89	6	-1.621742	
9	88	5	-1.940901	
9	88	4	-1.494470	
9	87	3	2.768323	
9	86	2	-0.329366	
9	85	2	0.256218	
9	85	1	2.570531	
8	85	7	-0.299784	
8	84	6	-1.598101	
8	84	5	-0.640007	
8	83	4	0.315795	
8	83	3	-0.478690	
8	82	2	-1.419508	
8	82	1	-1.047416	
7	82	9	-3.150006	
7	81	8	-3.553029	
7	81	7	-2.629126	
7	80	6	-1.814555	
7	80	5	-1.572212	
7	79	4	-1.183670	
7	79	3	-0.356233	
7	78	2	-3.323052	
7	77	2	-3.840389	
7	76	1	-4.297275	
6	76	8	-0.835805	
6	75	8	-0.597467	
6	74	7	7.916277	
6	73	7	0.388171	
6	72	6	13.666552	
6	71	6	7.357957	
6	70	5	10.717535	
6	69	4	1.326486	
6	69	3	1.037044	
6	68	2	4.909324	
6	68	1	4.109018	
5	68	14	0.062995	
5	67	13	4.048875	
5	67	12	4.150244	
5	66	11	3.748229	
5	66	10	3.776847	
5	65	9	7.636179	
5	64	8	6.264983	
5	63	7	6.735493	
5	62	6	6.558136	
5	61	6	9.876165	
5	60	5	10.556071	
5	59	4	13.356063	
5	58	3	13.926920	
5	57	3	14.580816	
5	56	2	13.942331	
5	55	2	7.213580	
5	55	1	6.940577	
4	55	9	5.011798	
4	54	8	4.938039	
4	54	7	3.859005	
4	53	6	21.807014	
4	52	5	21.275660	
4	51	4	24.793497	
4	50	3	27.216139	
4	49	3	36.585491	
4	48	2	29.698191	
4	47	2	-4.513832	
4	47	1	12.419657	
3	47	10	2.154524	
3	46	9	7.002147	
3	45	9	27.617416	
3	44	8	1.213853	
3	43	7	30.266520	
3	42	6	-7.025955	
3	41	6	-0.536693	
3	40	5	-0.141534	
3	39	5	7.118742	
3	38	4	3.090069	
3	38	3	1.676689	
3	37	2	5.431582	
3	37	1	2.558217	
2	37	13	1.848013	
2	36	12	-0.240204	
2	36	11	-0.688740	
2	35	10	1.400829	
2	35	9	0.798108	
2	34	8	0.576401	
2	34	7	0.377310	
2	33	6	2.399400	
2	33	5	2.223835	
2	32	4	0.554523	
2	32	3	0.087538	
2	31	2	0.818443	
2	31	1	0.432897	
1	31	6	5.583139	
1	30	5	5.195218	
1	30	4	10.438648	
1	29	3	17.334320	
1	28	2	20.994598	
1	27	2	8.462558	
1	26	1	8.076159	
