k	j	i	s	
10	82	6	8.883245	
10	81	6	-3.669170	
10	80	5	7.828163	
10	79	5	-1.839612	
10	78	4	1.482674	
10	77	4	-2.525418	
10	76	3	-3.801068	
10	75	3	2.153926	
10	74	2	-6.428601	
10	73	2	4.197726	
10	72	1	-5.819887	
9	72	9	-0.102347	
9	71	9	6.887801	
9	70	8	4.878293	
9	69	8	3.597705	
9	68	7	3.816845	
9	67	7	4.805783	
9	66	6	1.644363	
9	66	5	1.449198	
9	65	4	2.689150	
9	64	3	0.926702	
9	63	2	0.039295	
9	62	1	-1.769343	
8	62	7	-0.810008	
8	61	7	-1.018481	
8	61	6	-1.762968	
8	60	5	-2.408613	
8	60	4	-3.098816	
8	59	3	-2.746097	
8	59	2	-3.330676	
8	58	1	-8.652531	
7	58	9	-3.912739	
7	57	8	-6.641665	
7	56	7	-3.533058	
7	55	6	-6.440879	
7	54	5	-4.019840	
7	53	5	-2.840354	
7	52	4	-5.986642	
7	51	4	-3.570808	
7	51	3	-3.873130	
7	50	2	-4.532687	
7	49	2	-2.981521	
7	48	1	-5.988910	
6	48	8	-1.718750	
6	47	8	1.737464	
6	46	7	2.670503	
6	45	7	4.658964	
6	45	6	4.599584	
6	44	5	1.818789	
6	43	5	2.959686	
6	42	4	5.827340	
6	41	3	5.646049	
6	40	2	5.953663	
6	39	2	0.514617	
6	39	1	1.809573	
5	39	14	0.860496	
5	38	13	4.180466	
5	38	12	4.138826	
5	37	11	1.414641	
5	37	10	1.339836	
5	36	9	3.377354	
5	36	8	3.316147	
5	35	7	2.639834	
5	35	6	2.720510	
5	34	5	3.722271	
5	34	4	3.884913	
5	33	3	7.087754	
5	32	2	4.781793	
5	32	1	4.683155	
4	32	9	2.373581	
4	31	8	5.496510	
4	30	7	11.812665	
4	29	6	12.141037	
4	28	5	14.083234	
4	27	4	15.775906	
4	26	3	37.040600	
4	25	2	18.247717	
4	24	1	24.100491	
3	24	10	-5.607242	
3	23	10	-7.427354	
3	22	9	18.192970	
3	21	8	-7.806530	
3	20	7	24.739321	
3	19	6	-1.488843	
3	18	5	-0.423245	
3	17	5	1.163729	
3	17	4	0.750814	
3	16	3	1.642909	
3	16	2	1.799619	
3	15	1	0.434562	
2	15	13	-1.345838	
2	15	12	-2.570663	
2	14	11	-0.878232	
2	14	10	-1.151567	
2	13	9	-1.966690	
2	13	8	-2.039632	
2	12	7	-0.495896	
2	12	6	-0.421693	
2	11	5	-0.964410	
2	11	4	-0.561662	
2	10	3	-0.409481	
2	10	2	-0.190241	
2	9	1	-4.033928	
1	9	6	3.139342	
1	9	5	3.474113	
1	8	4	10.771878	
1	7	3	1.721499	
1	6	2	8.928839	
1	5	1	1.226162	
