	k	i	s
90	10	6	3.4188220000000005
89	10	5	0.641201
88	10	4	0.657654
87	10	3	1.7974700000000001
86	10	2	1.420334
85	10	1	1.611928
84	9	9	1.409281
83	9	8	2.136733
82	9	7	2.641028
81	9	6	6.950063
80	9	5	7.935995
79	9	4	6.664499
78	9	3	6.991022
77	9	2	6.634195
76	9	1	2.61972
75	8	7	0.7967380000000001
74	8	6	3.445161
73	8	5	2.458682
72	8	4	7.810083
71	8	3	2.127571
70	8	2	1.888135
69	8	1	0.790611
68	7	9	3.4458370000000005
67	7	8	3.596946
66	7	7	2.931543
65	7	6	17.150922
64	7	5	15.89994
63	7	4	16.559074
62	7	3	5.146237999999999
61	7	2	4.057073
60	7	1	3.82325
59	6	8	1.7030900000000002
58	6	7	0.6330979999999999
57	6	6	-0.702324
56	6	5	1.408841
55	6	4	-2.6998900000000003
54	6	3	-0.8922959999999999
53	6	2	-3.2074759999999998
52	6	1	-6.936215
51	5	14	-0.7782439999999999
50	5	13	-1.93118
49	5	12	-2.1623639999999997
48	5	11	-1.708667
47	5	10	-1.050651
46	5	9	-1.61398
45	5	8	-0.931983
44	5	7	-1.361294
43	5	6	-0.9270700000000001
42	5	5	-1.034297
41	5	4	0.475534
40	5	3	0.614455
39	5	2	0.654576
38	5	1	0.892186
37	4	9	0.790964
36	4	8	0.39543
35	4	7	4.6105220000000005
34	4	6	8.354842
33	4	5	4.939347
32	4	4	12.59834
31	4	3	-4.219486
30	4	2	13.476626999999999
29	4	1	-6.0707830000000005
28	3	10	4.169377
27	3	9	18.036137
26	3	8	0.76118
25	3	7	26.686429999999998
24	3	6	-3.261132
23	3	5	-2.2683020000000003
22	3	4	2.178276
21	3	3	1.721529
20	3	2	-6.051785
19	3	1	4.34706
18	2	13	-2.590203
17	2	12	-5.256298999999999
16	2	11	-3.6568160000000005
15	2	10	-4.435773
14	2	9	-6.069193
13	2	8	-6.733185000000001
12	2	7	-6.63483
11	2	6	-7.001742999999999
10	2	5	-6.395736
9	2	4	-6.4259830000000004
8	2	3	-5.635959
7	2	2	-4.837238
6	2	1	-12.647264
5	1	6	-4.642195
4	1	5	-6.043554
3	1	4	14.462439000000002
2	1	3	-9.262599
1	1	2	14.112892
0	1	1	-12.061906
