	k	i	s
90	10	6	-1.4049129999999999
89	10	5	-1.585602
88	10	4	-1.369268
87	10	3	-1.17036
86	10	2	-1.293203
85	10	1	-0.984225
84	9	9	-0.20554099999999997
83	9	8	0.524146
82	9	7	0.4721
81	9	6	6.527469
80	9	5	4.291821
79	9	4	6.131861
78	9	3	9.073801
77	9	2	6.295070000000001
76	9	1	2.988506
75	8	7	1.0610700000000002
74	8	6	2.253717
73	8	5	1.3759379999999999
72	8	4	1.0489959999999998
71	8	3	0.493033
70	8	2	-0.26005100000000003
69	8	1	-1.907413
68	7	9	5.210738
67	7	8	5.163003
66	7	7	4.948255
65	7	6	9.649887999999999
64	7	5	14.984784999999999
63	7	4	7.532816
62	7	3	9.441838
61	7	2	15.935618
60	7	1	6.9262619999999995
59	6	8	3.6272070000000003
58	6	7	0.891568
57	6	6	4.082927
56	6	5	3.57255
55	6	4	8.85218
54	6	3	1.822502
53	6	2	1.177724
52	6	1	7.087581
51	5	14	1.7894450000000002
50	5	13	1.8317080000000001
49	5	12	1.779785
48	5	11	1.8772959999999999
47	5	10	2.427021
46	5	9	2.351701
45	5	8	2.309745
44	5	7	2.152767
43	5	6	2.386788
42	5	5	2.3620740000000002
41	5	4	1.656643
40	5	3	1.6389479999999998
39	5	2	2.568393
38	5	1	2.768668
37	4	9	1.5482120000000001
36	4	8	2.3202
35	4	7	3.514588
34	4	6	20.846642000000003
33	4	5	22.472204
32	4	4	33.822845
31	4	3	-4.340423
30	4	2	31.372877000000003
29	4	1	-3.8137309999999998
28	3	10	-1.386709
27	3	9	22.578409
26	3	8	-2.095647
25	3	7	27.424540000000004
24	3	6	0.15815099999999999
23	3	5	-0.14905
22	3	4	3.671188
21	3	3	4.835632
20	3	2	1.25806
19	3	1	-0.337285
18	2	13	-1.732609
17	2	12	-3.998555
16	2	11	-2.7700150000000003
15	2	10	-4.549684
14	2	9	-4.513159
13	2	8	-5.076423999999999
12	2	7	-5.245054
11	2	6	-5.697342
10	2	5	-4.732778
9	2	4	-5.0016099999999994
8	2	3	-5.7001550000000005
7	2	2	-6.176726
6	2	1	-11.055772
5	1	6	-0.46433199999999997
4	1	5	-0.627247
3	1	4	5.855611
2	1	3	10.929888
1	1	2	10.241594
0	1	1	10.224776
