	k	i	s
90	10	6	2.836432
89	10	5	0.307029
88	10	4	0.370152
87	10	3	2.2539700000000003
86	10	2	-0.554894
85	10	1	2.017166
84	9	9	3.0557309999999998
83	9	8	4.141497
82	9	7	9.303024
81	9	6	14.505422000000001
80	9	5	16.92304
79	9	4	3.5455410000000005
78	9	3	3.647089
77	9	2	4.189916
76	9	1	4.300451
75	8	7	2.885943
74	8	6	5.781798
73	8	5	7.165377
72	8	4	6.9271080000000005
71	8	3	6.822439999999999
70	8	2	2.537941
69	8	1	1.884112
68	7	9	4.0080029999999995
67	7	8	6.920408999999999
66	7	7	13.759485000000002
65	7	6	18.882329
64	7	5	16.979456
63	7	4	14.858127
62	7	3	4.261851999999999
61	7	2	11.14075
60	7	1	3.62885
59	6	8	2.009674
58	6	7	2.702264
57	6	6	2.956586
56	6	5	3.8863220000000003
55	6	4	1.8330369999999998
54	6	3	1.772875
53	6	2	-0.68443
52	6	1	0.899942
51	5	14	3.6680599999999997
50	5	13	0.245299
49	5	12	3.1672439999999997
48	5	11	1.144915
47	5	10	2.75526
46	5	9	2.039499
45	5	8	2.37327
44	5	7	2.1137599999999996
43	5	6	2.824049
42	5	5	2.869748
41	5	4	3.134166
40	5	3	3.219439
39	5	2	2.546133
38	5	1	2.890951
37	4	9	1.497392
36	4	8	3.4873519999999996
35	4	7	5.300853
34	4	6	-0.25766700000000003
33	4	5	7.022867
32	4	4	11.870650999999999
31	4	3	20.164749
30	4	2	7.331936000000001
29	4	1	13.595429000000001
28	3	10	3.087165
27	3	9	21.448196000000003
26	3	8	3.504006
25	3	7	26.730403
24	3	6	6.355077
23	3	5	1.706323
22	3	4	3.2791690000000004
21	3	3	3.738865
20	3	2	1.779591
19	3	1	-0.03575
18	2	13	-2.225766
17	2	12	-4.093611
16	2	11	-1.712459
15	2	10	-3.9344099999999997
14	2	9	-3.470754
13	2	8	-3.453675
12	2	7	-4.429557
11	2	6	-4.50577
10	2	5	-3.8000730000000003
9	2	4	-3.919981
8	2	3	-5.238257
7	2	2	-4.855629
6	2	1	-8.876233000000001
5	1	6	-2.3964779999999997
4	1	5	-3.714493
3	1	4	35.712486
2	1	3	-11.114915
1	1	2	37.155064
0	1	1	-12.584572999999999
