	k	i	s
90	10	6	1.524724
89	10	5	-0.634833
88	10	4	-1.2831569999999999
87	10	3	0.31206
86	10	2	-0.128466
85	10	1	-2.053053
84	9	9	3.840379
83	9	8	9.60755
82	9	7	8.922375
81	9	6	5.379532
80	9	5	5.156341
79	9	4	13.093872
78	9	3	4.688687
77	9	2	11.945027
76	9	1	3.816736
75	8	7	2.70532
74	8	6	1.320698
73	8	5	2.171275
72	8	4	6.107426
71	8	3	8.844262
70	8	2	2.121675
69	8	1	2.3130029999999997
68	7	9	2.666516
67	7	8	4.687692
66	7	7	6.470309
65	7	6	13.205303
64	7	5	4.765589
63	7	4	8.876206
62	7	3	10.551826
61	7	2	14.222524
60	7	1	3.995961
59	6	8	0.06237899999999996
58	6	7	0.7663949999999999
57	6	6	6.189751
56	6	5	3.156638
55	6	4	2.478332
54	6	3	2.4898759999999998
53	6	2	-0.22539499999999998
52	6	1	4.437241
51	5	14	2.931969
50	5	13	1.259792
49	5	12	2.91391
48	5	11	1.551992
47	5	10	1.483319
46	5	9	1.224318
45	5	8	1.966957
44	5	7	1.803677
43	5	6	2.764888
42	5	5	2.759345
41	5	4	1.94082
40	5	3	2.119354
39	5	2	1.8533080000000002
38	5	1	2.170505
37	4	9	-0.143995
36	4	8	0.528833
35	4	7	5.045022
34	4	6	3.227072
33	4	5	8.727580999999999
32	4	4	24.356133
31	4	3	11.640842999999998
30	4	2	13.481669
29	4	1	10.976082
28	3	10	2.823652
27	3	9	15.424745000000001
26	3	8	-0.864873
25	3	7	16.745234
24	3	6	8.373682
23	3	5	3.160827
22	3	4	1.7448689999999998
21	3	3	14.607996
20	3	2	1.6582540000000001
19	3	1	6.936983000000001
18	2	13	0.961397
17	2	12	-1.261097
16	2	11	-0.740877
15	2	10	-3.161856
14	2	9	-3.393158
13	2	8	-3.968322
12	2	7	-4.330357
11	2	6	-4.593639
10	2	5	-4.172495
9	2	4	-4.316422
8	2	3	-3.584362
7	2	2	-4.17135
6	2	1	-10.600871000000001
5	1	6	2.1805939999999997
4	1	5	6.027647
3	1	4	-6.571234
2	1	3	-2.420758
1	1	2	22.133436
0	1	1	-8.534593
