	k	i	s
90	10	6	0.07224
89	10	5	2.327122
88	10	4	1.038339
87	10	3	-0.06952000000000003
86	10	2	-0.575906
85	10	1	0.264783
84	9	9	1.8363980000000002
83	9	8	5.291933
82	9	7	1.926784
81	9	6	5.359987
80	9	5	2.412395
79	9	4	9.189934000000001
78	9	3	2.923502
77	9	2	8.121421999999999
76	9	1	3.449967
75	8	7	2.407825
74	8	6	4.793944000000001
73	8	5	8.339464999999999
72	8	4	9.786811
71	8	3	10.017006
70	8	2	14.276532000000001
69	8	1	4.219245
68	7	9	3.417282
67	7	8	6.059737999999999
66	7	7	7.739582
65	7	6	19.170146
64	7	5	6.955089
63	7	4	12.981484
62	7	3	14.671492
61	7	2	7.262303
60	7	1	6.4008400000000005
59	6	8	2.916362
58	6	7	2.954698
57	6	6	-0.082201
56	6	5	-3.3168629999999997
55	6	4	-4.689126
54	6	3	-3.5419110000000003
53	6	2	-4.391907
52	6	1	-10.039733
51	5	14	-2.566047
50	5	13	-2.087073
49	5	12	-1.60025
48	5	11	-1.8783279999999998
47	5	10	-0.65962
46	5	9	-1.017592
45	5	8	-0.546395
44	5	7	-0.677701
43	5	6	-0.542249
42	5	5	-0.618875
41	5	4	-0.021840000000000002
40	5	3	-0.160235
39	5	2	1.062265
38	5	1	1.279233
37	4	9	4.491458000000001
36	4	8	7.6276589999999995
35	4	7	10.808850999999999
34	4	6	9.066094999999999
33	4	5	17.498670999999998
32	4	4	29.021177
31	4	3	0.54064
30	4	2	18.567856
29	4	1	1.83582
28	3	10	-2.874841
27	3	9	10.322701
26	3	8	-3.896115
25	3	7	16.08812
24	3	6	0.243716
23	3	5	1.436922
22	3	4	2.563744
21	3	3	2.383461
20	3	2	-0.31267
19	3	1	1.95068
18	2	13	-6.4912160000000005
17	2	12	-4.911534
16	2	11	-2.620926
15	2	10	-6.021618
14	2	9	-5.630637
13	2	8	-6.196224
12	2	7	-5.981180999999999
11	2	6	-5.793275
10	2	5	-6.094283
9	2	4	-6.162277
8	2	3	-7.601192999999999
7	2	2	-7.624382000000001
6	2	1	-11.432706
5	1	6	-3.439376
4	1	5	-2.1079779999999997
3	1	4	-6.693801
2	1	3	-6.884905000000001
1	1	2	-5.3287059999999995
0	1	1	-15.343819
