k	j	i	s	
10	177	6	1.687754	
10	177	5	1.347428	
10	176	4	-1.884863	
10	176	3	-2.131834	
10	175	2	3.379027	
10	174	1	-1.913861	
9	174	9	4.624600	
9	173	9	2.585672	
9	172	8	3.152679	
9	172	7	2.375560	
9	171	6	8.399254	
9	170	5	7.197268	
9	169	5	7.097369	
9	168	4	6.127124	
9	167	4	3.329918	
9	166	3	0.298860	
9	165	2	1.233195	
9	165	1	1.326379	
8	165	7	0.159351	
8	164	6	-1.094879	
8	163	5	-3.124789	
8	162	4	-0.995379	
8	161	4	-0.085409	
8	160	3	2.693288	
8	159	3	1.545129	
8	158	2	3.284011	
8	157	2	7.150672	
8	156	1	1.264405	
7	156	9	5.446003	
7	155	9	7.535660	
7	154	8	7.010526	
7	153	8	10.132914	
7	152	7	7.765577	
7	151	6	4.440984	
7	151	5	4.114392	
7	150	4	14.327341	
7	149	3	18.102049	
7	148	2	22.609579	
7	147	2	7.552386	
7	147	1	8.937682	
6	147	8	1.783962	
6	146	7	3.832332	
6	145	6	10.090420	
6	144	5	15.115047	
6	143	4	5.393678	
6	143	3	3.793466	
6	142	2	4.757040	
6	142	1	2.793902	
5	142	14	5.688699	
5	141	13	6.621355	
5	141	12	6.805439	
5	140	11	5.066700	
5	140	10	5.210008	
5	139	9	4.458795	
5	139	8	4.627951	
5	138	7	3.708984	
5	138	6	3.852663	
5	137	5	4.170980	
5	137	4	4.154899	
5	136	3	3.463901	
5	135	2	2.122892	
5	135	1	2.695969	
4	135	9	0.297355	
4	134	8	-4.917831	
4	134	7	-3.934428	
4	133	6	0.318103	
4	132	5	1.250471	
4	131	4	9.020674	
4	130	3	25.355047	
4	129	2	1.506405	
4	128	1	24.228971	
3	128	10	-2.490776	
3	127	10	-3.982202	
3	126	9	18.280951	
3	125	8	-1.475049	
3	125	7	5.060085	
3	124	6	6.505300	
3	124	5	4.682804	
3	123	4	3.566584	
3	123	3	3.868533	
3	122	2	7.104948	
3	122	1	6.478714	
2	122	13	5.457944	
2	121	12	6.560781	
2	121	11	6.125988	
2	120	10	4.914803	
2	120	9	4.637195	
2	119	8	5.965900	
2	119	7	5.775297	
2	118	6	5.738608	
2	118	5	5.613976	
2	117	4	5.087724	
2	117	3	4.745282	
2	116	2	2.488884	
2	116	1	1.760213	
1	116	6	2.773418	
1	115	5	6.099270	
1	115	4	7.796115	
1	114	3	5.977902	
1	113	2	14.620319	
1	112	1	3.433213	
