	k	i	s
90	10	6	-0.900142
89	10	5	-1.27528
88	10	4	-1.4564059999999999
87	10	3	-1.224063
86	10	2	-1.508078
85	10	1	-2.427019
84	9	9	2.766381
83	9	8	-0.416783
82	9	7	-1.229665
81	9	6	0.570433
80	9	5	0.98287
79	9	4	1.255676
78	9	3	2.910763
77	9	2	12.850447
76	9	1	6.144956
75	8	7	3.1543840000000003
74	8	6	-0.707281
73	8	5	9.336088
72	8	4	2.4075800000000003
71	8	3	1.2692439999999998
70	8	2	1.076466
69	8	1	0.6293350000000001
68	7	9	-3.086422
67	7	8	-0.77925
66	7	7	-0.9575450000000001
65	7	6	-4.667942999999999
64	7	5	0.695282
63	7	4	-3.104623
62	7	3	8.413169
61	7	2	3.3656940000000004
60	7	1	2.704028
59	6	8	-3.977295
58	6	7	-2.232405
57	6	6	-1.0322280000000001
56	6	5	-6.0899209999999995
55	6	4	-4.375678
54	6	3	-0.195888
53	6	2	-1.282672
52	6	1	-8.937272
51	5	14	0.754099
50	5	13	1.309999
49	5	12	3.934906
48	5	11	12.074993
47	5	10	7.787088
46	5	9	8.748829
45	5	8	15.854229
44	5	7	14.552906
43	5	6	6.7027280000000005
42	5	5	-2.743397
41	5	4	-15.841925
40	5	3	-17.185494000000002
39	5	2	-16.527449999999998
38	5	1	-10.053291999999999
37	4	9	-8.123493999999999
36	4	8	-8.462335000000001
35	4	7	10.241318
34	4	6	1.8865599999999998
33	4	5	-22.164669
32	4	4	-4.803408999999999
31	4	3	-18.755392
30	4	2	-21.634914000000002
29	4	1	-0.20288299999999998
28	3	10	0.408815
27	3	9	22.298294
26	3	8	9.849148
25	3	7	17.744112
24	3	6	4.770707
23	3	5	6.929041000000001
22	3	4	11.092242
21	3	3	20.576542
20	3	2	11.321168
19	3	1	6.084156
18	2	13	-1.08312
17	2	12	-5.1121739999999996
16	2	11	-2.469599
15	2	10	-3.278508
14	2	9	-3.658549
13	2	8	-3.9044849999999998
12	2	7	-4.165318
11	2	6	-4.216216999999999
10	2	5	-3.8094940000000004
9	2	4	-3.6510260000000003
8	2	3	-6.392165
7	2	2	-5.978902
6	2	1	-8.094324
5	1	6	-9.915104
4	1	5	-9.712155000000001
3	1	4	23.118025
2	1	3	-13.902505999999999
1	1	2	25.066734
0	1	1	-15.133132999999999
