	k	i	s
90	10	6	-0.923444
89	10	5	0.411963
88	10	4	-0.103052
87	10	3	-2.33853
86	10	2	-2.3719069999999998
85	10	1	-3.509719
84	9	9	9.490941000000001
83	9	8	0.879756
82	9	7	-1.5414700000000001
81	9	6	2.757607
80	9	5	3.391263
79	9	4	-1.146641
78	9	3	0.378407
77	9	2	3.431076
76	9	1	3.048848
75	8	7	1.581123
74	8	6	2.803569
73	8	5	10.08866
72	8	4	3.856169
71	8	3	-1.7986259999999998
70	8	2	-4.229929
69	8	1	-0.322713
68	7	9	-8.679072000000001
67	7	8	-17.118288999999997
66	7	7	-4.7372819999999995
65	7	6	-0.742924
64	7	5	-0.30488200000000004
63	7	4	-4.297606
62	7	3	-11.72833
61	7	2	-8.723287000000001
60	7	1	-6.35769
59	6	8	-6.400812
58	6	7	-7.602086000000001
57	6	6	9.002906
56	6	5	1.881875
55	6	4	2.7330349999999997
54	6	3	1.940318
53	6	2	2.2597959999999997
52	6	1	1.961596
51	5	14	1.15825
50	5	13	3.5257160000000005
49	5	12	6.936837
48	5	11	2.578939
47	5	10	1.705545
46	5	9	1.556732
45	5	8	4.820972
44	5	7	2.24009
43	5	6	0.9114629999999999
42	5	5	-7.981034999999999
41	5	4	-17.342061
40	5	3	-9.595970000000001
39	5	2	-1.917675
38	5	1	-4.330814
37	4	9	0.081604
36	4	8	-3.5348260000000002
35	4	7	29.631355
34	4	6	-5.925103
33	4	5	7.04925
32	4	4	-5.952353
31	4	3	-21.090145
30	4	2	-10.780792
29	4	1	-89.005775
28	3	10	2.0843130000000003
27	3	9	20.373653
26	3	8	10.352834
25	3	7	53.207073
24	3	6	4.206887
23	3	5	6.513468
22	3	4	5.823706
21	3	3	3.9677019999999996
20	3	2	29.270518
19	3	1	13.536976999999998
18	2	13	-0.9981389999999999
17	2	12	-0.917386
16	2	11	-0.88
15	2	10	-1.769652
14	2	9	-4.516378
13	2	8	-4.50096
12	2	7	-4.190626
11	2	6	-3.8639099999999997
10	2	5	-3.8285730000000004
9	2	4	-3.4248830000000003
8	2	3	-7.342072999999999
7	2	2	-5.996581
6	2	1	-7.705048
5	1	6	-7.414771000000001
4	1	5	-9.589806
3	1	4	33.761402000000004
2	1	3	-25.476983999999998
1	1	2	31.585936
0	1	1	-24.115274
