	k	i	s
90	10	6	0.22435100000000002
89	10	5	0.06891599999999999
88	10	4	-0.793456
87	10	3	-1.117251
86	10	2	0.264549
85	10	1	0.154668
84	9	9	1.707284
83	9	8	3.639557
82	9	7	3.0582830000000003
81	9	6	2.912345
80	9	5	5.775683
79	9	4	3.3824419999999997
78	9	3	16.618058
77	9	2	-1.484861
76	9	1	1.9235810000000002
75	8	7	-0.149885
74	8	6	-3.041999
73	8	5	0.9086209999999999
72	8	4	-2.6846289999999997
71	8	3	-3.126307
70	8	2	0.244434
69	8	1	-2.131196
68	7	9	-0.34885900000000003
67	7	8	0.64262
66	7	7	-0.504632
65	7	6	0.512968
64	7	5	2.064474
63	7	4	-11.381949
62	7	3	-7.309629999999999
61	7	2	-10.954096
60	7	1	-6.707012
59	6	8	-3.468401
58	6	7	-9.62554
57	6	6	-4.4581859999999995
56	6	5	2.298804
55	6	4	1.5463200000000001
54	6	3	1.619908
53	6	2	0.799147
52	6	1	-3.391431
51	5	14	5.148296
50	5	13	4.968642
49	5	12	6.959971
48	5	11	5.527522
47	5	10	2.240379
46	5	9	2.276064
45	5	8	3.0823099999999997
44	5	7	1.9579190000000002
43	5	6	-6.5952090000000005
42	5	5	-4.890948
41	5	4	-5.175434
40	5	3	-0.1744239999999997
39	5	2	2.235976
38	5	1	1.859278
37	4	9	-1.212199
36	4	8	1.8166740000000001
35	4	7	8.391684
34	4	6	4.201404
33	4	5	7.362976
32	4	4	-3.659753
31	4	3	-6.772367
30	4	2	-4.148994999999999
29	4	1	-29.440766999999997
28	3	10	-1.055004
27	3	9	-3.6680010000000003
26	3	8	3.472343
25	3	7	16.311685999999998
24	3	6	2.484178
23	3	5	4.11351
22	3	4	16.012905
21	3	3	18.595528
20	3	2	4.045604
19	3	1	5.928351999999999
18	2	13	-0.688156
17	2	12	0.008699
16	2	11	-1.232007
15	2	10	-2.2698150000000004
14	2	9	-3.362157
13	2	8	-3.5991980000000003
12	2	7	-3.572224
11	2	6	-3.5194940000000003
10	2	5	-4.200614
9	2	4	-3.935486
8	2	3	-4.813542
7	2	2	-4.30136
6	2	1	-6.339347
5	1	6	-2.624945
4	1	5	-2.949712
3	1	4	0.638141
2	1	3	-0.196638
1	1	2	-4.484311
0	1	1	1.344751
