	k	i	s
90	10	6	-0.465149
89	10	5	0.49763500000000005
88	10	4	0.282667
87	10	3	-1.3579780000000001
86	10	2	-1.588275
85	10	1	-2.888474
84	9	9	0.073943
83	9	8	2.5121279999999997
82	9	7	0.433018
81	9	6	-1.7452020000000001
80	9	5	-1.1083889999999998
79	9	4	0.681013
78	9	3	0.42466099999999996
77	9	2	5.2072959999999995
76	9	1	0.40912800000000005
75	8	7	6.072236999999999
74	8	6	-0.223044
73	8	5	11.048269000000001
72	8	4	6.471997
71	8	3	0.2816989999999999
70	8	2	2.8987689999999997
69	8	1	0.428439
68	7	9	-0.7590859999999999
67	7	8	-1.1129440000000002
66	7	7	-0.312639
65	7	6	-0.395144
64	7	5	-9.741164000000001
63	7	4	-7.1012260000000005
62	7	3	0.21627099999999988
61	7	2	-9.413939
60	7	1	-3.222788
59	6	8	1.9299899999999997
58	6	7	-4.177559
57	6	6	-5.265235
56	6	5	-1.8290369999999998
55	6	4	-4.496377
54	6	3	1.030967
53	6	2	-0.64885
52	6	1	0.352344
51	5	14	8.472949999999999
50	5	13	12.122077999999998
49	5	12	7.658591
48	5	11	8.549709
47	5	10	7.34076
46	5	9	9.184939
45	5	8	16.303466999999998
44	5	7	14.214030000000001
43	5	6	5.486874
42	5	5	2.4489419999999997
41	5	4	-0.07729599999999999
40	5	3	8.788119
39	5	2	1.8976279999999999
38	5	1	3.472577
37	4	9	3.5316449999999997
36	4	8	-0.103825
35	4	7	22.058138
34	4	6	-6.648952
33	4	5	6.116619
32	4	4	2.8923490000000003
31	4	3	-14.178881
30	4	2	-6.507333
29	4	1	-57.645588000000004
28	3	10	3.3493459999999997
27	3	9	19.852111999999998
26	3	8	5.510488
25	3	7	45.992709999999995
24	3	6	4.65482
23	3	5	6.862447
22	3	4	5.682535
21	3	3	5.974297
20	3	2	21.032235
19	3	1	5.880142
18	2	13	-0.51779
17	2	12	-2.9607930000000002
16	2	11	-4.21354
15	2	10	-3.9505769999999996
14	2	9	-4.277082
13	2	8	-4.910811
12	2	7	-4.934632
11	2	6	-5.951871
10	2	5	-5.929811
9	2	4	-7.028187
8	2	3	-6.771924
7	2	2	-10.764408999999999
6	2	1	-13.499739000000002
5	1	6	1.067466
4	1	5	1.8080169999999998
3	1	4	-5.502999
2	1	3	-10.766671
1	1	2	14.529349
0	1	1	-19.869001
