	k	i	s
90	10	6	-2.839753
89	10	5	-1.845421
88	10	4	-2.19142
87	10	3	-2.417253
86	10	2	-2.390362
85	10	1	-5.793643
84	9	9	-1.457702
83	9	8	-3.714507
82	9	7	-4.856651
81	9	6	-3.523511
80	9	5	-2.424946
79	9	4	-3.701394
78	9	3	2.7361240000000002
77	9	2	2.431441
76	9	1	7.517614
75	8	7	4.264964999999999
74	8	6	2.900338
73	8	5	7.593839
72	8	4	8.844688999999999
71	8	3	1.5244579999999999
70	8	2	2.961582
69	8	1	2.133995
68	7	9	-3.699754
67	7	8	-3.7722500000000005
66	7	7	-9.655715999999998
65	7	6	-8.444180999999999
64	7	5	-9.117922
63	7	4	-4.57006
62	7	3	-4.524543
61	7	2	-2.394889
60	7	1	-2.357409
59	6	8	0.103361
58	6	7	-0.629251
57	6	6	3.6312849999999997
56	6	5	1.466731
55	6	4	2.719464
54	6	3	3.3034449999999995
53	6	2	3.310426
52	6	1	3.011992
51	5	14	0.710094
50	5	13	2.1636919999999997
49	5	12	3.22098
48	5	11	3.819093
47	5	10	2.4580189999999997
46	5	9	2.291696
45	5	8	9.493842
44	5	7	2.7329830000000004
43	5	6	6.147984
42	5	5	-0.20402199999999993
41	5	4	-2.114336
40	5	3	-0.1725230000000001
39	5	2	1.9863330000000001
38	5	1	5.234871
37	4	9	0.802879
36	4	8	-3.979794
35	4	7	19.257564
34	4	6	-1.402197
33	4	5	0.407995
32	4	4	2.141857
31	4	3	-26.062936999999998
30	4	2	-24.284176000000002
29	4	1	-54.551411
28	3	10	0.47326599999999996
27	3	9	13.092029
26	3	8	-5.029307
25	3	7	36.110248999999996
24	3	6	-0.99398
23	3	5	0.532996
22	3	4	3.741593
21	3	3	4.341416000000001
20	3	2	3.350081
19	3	1	4.741691
18	2	13	1.645154
17	2	12	4.9357690000000005
16	2	11	0.29077800000000004
15	2	10	-0.507555
14	2	9	-0.42867200000000005
13	2	8	-0.6518970000000001
12	2	7	-2.323306
11	2	6	-2.629594
10	2	5	-1.947918
9	2	4	-2.096852
8	2	3	-1.7716560000000001
7	2	2	-1.787337
6	2	1	-4.964308
5	1	6	-3.5631769999999996
4	1	5	-3.4682230000000005
3	1	4	-5.309106
2	1	3	-1.6464740000000002
1	1	2	-5.1100129999999995
0	1	1	-6.118684
