	k	i	s
90	10	6	-0.23288899999999998
89	10	5	-2.457504
88	10	4	-2.479899
87	10	3	-1.6581540000000001
86	10	2	-2.078583
85	10	1	-9.538603
84	9	9	-1.481826
83	9	8	2.0938779999999997
82	9	7	0.814291
81	9	6	-3.592802
80	9	5	-2.449795
79	9	4	0.37046799999999996
78	9	3	0.8418040000000001
77	9	2	1.9488009999999998
76	9	1	-2.0702580000000004
75	8	7	4.508382
74	8	6	-0.977325
73	8	5	-0.14895999999999998
72	8	4	6.607305
71	8	3	9.596875
70	8	2	10.905054
69	8	1	2.016764
68	7	9	-4.60308
67	7	8	0.394965
66	7	7	1.025617
65	7	6	-6.092063
64	7	5	-1.7572079999999997
63	7	4	-2.949609
62	7	3	-9.799043999999999
61	7	2	-2.160411
60	7	1	-2.3469729999999998
59	6	8	2.0774719999999998
58	6	7	-0.7799659999999999
57	6	6	2.0333740000000002
56	6	5	0.812697
55	6	4	-0.072159
54	6	3	0.379834
53	6	2	-0.6721590000000001
52	6	1	0.302451
51	5	14	2.0219139999999998
50	5	13	4.663662
49	5	12	7.3307839999999995
48	5	11	10.756298000000001
47	5	10	2.85699
46	5	9	4.350622
45	5	8	1.741536
44	5	7	2.928452
43	5	6	0.9170149999999999
42	5	5	-0.53078
41	5	4	-3.584707
40	5	3	13.093084000000001
39	5	2	3.0325740000000003
38	5	1	2.618599
37	4	9	1.386442
36	4	8	4.311967
35	4	7	13.741798000000001
34	4	6	8.323628999999999
33	4	5	14.732807999999999
32	4	4	-5.295175
31	4	3	-4.845858
30	4	2	2.997012
29	4	1	-40.597378000000006
28	3	10	-0.292371
27	3	9	-2.566604
26	3	8	-0.706667
25	3	7	18.703436
24	3	6	4.442092
23	3	5	4.920693
22	3	4	3.5769269999999995
21	3	3	5.5226180000000005
20	3	2	13.242723
19	3	1	3.5891089999999997
18	2	13	0.076576
17	2	12	-0.834992
16	2	11	-1.541193
15	2	10	-3.260537
14	2	9	-4.834598000000001
13	2	8	-5.304488
12	2	7	-6.035472
11	2	6	-5.99475
10	2	5	-5.5579529999999995
9	2	4	-4.914914
8	2	3	-4.191596
7	2	2	-4.186656
6	2	1	-8.850662
5	1	6	-5.513798
4	1	5	-3.98474
3	1	4	-5.624205
2	1	3	-4.06205
1	1	2	-0.34783600000000003
0	1	1	-17.961648999999998
