	k	i	s
90	10	6	-1.146808
89	10	5	-0.5232140000000001
88	10	4	-0.926399
87	10	3	-1.1044399999999999
86	10	2	-1.332134
85	10	1	-3.3010019999999995
84	9	9	18.054292000000004
83	9	8	-1.030791
82	9	7	3.0598509999999997
81	9	6	2.799423
80	9	5	1.4023860000000001
79	9	4	1.601441
78	9	3	2.074042
77	9	2	1.6526290000000001
76	9	1	-0.27685
75	8	7	2.166322
74	8	6	0.287748
73	8	5	7.886846
72	8	4	2.1211290000000003
71	8	3	1.0804179999999999
70	8	2	2.417401
69	8	1	-0.45883199999999996
68	7	9	-4.748087999999999
67	7	8	-11.799192999999999
66	7	7	5.884475
65	7	6	-5.566115
64	7	5	-3.2482459999999995
63	7	4	-4.93286
62	7	3	-1.467364
61	7	2	-2.011332
60	7	1	-9.569929
59	6	8	-9.656529
58	6	7	-8.600586
57	6	6	-1.043113
56	6	5	-1.20059
55	6	4	-2.106256
54	6	3	-0.47771899999999995
53	6	2	-2.186461
52	6	1	-5.927722
51	5	14	-0.43841499999999994
50	5	13	-1.157283
49	5	12	3.23961
48	5	11	-2.512362
47	5	10	-1.681324
46	5	9	-0.499197
45	5	8	0.249837
44	5	7	4.160071
43	5	6	1.3483399999999999
42	5	5	1.216375
41	5	4	0.451064
40	5	3	0.433435
39	5	2	3.4240889999999995
38	5	1	1.113591
37	4	9	-0.904544
36	4	8	-1.612487
35	4	7	-2.405412
34	4	6	3.662236
33	4	5	-6.006738000000001
32	4	4	-20.126997
31	4	3	16.884578
30	4	2	-16.298742
29	4	1	22.181816
28	3	10	-0.24725300000000003
27	3	9	30.655476999999998
26	3	8	-1.252032
25	3	7	52.093875999999995
24	3	6	0.352429
23	3	5	3.494338
22	3	4	2.88662
21	3	3	2.711921
20	3	2	20.770451
19	3	1	9.489578999999999
18	2	13	-3.168767
17	2	12	-2.9101470000000003
16	2	11	-3.236094
15	2	10	-3.7194839999999996
14	2	9	-4.9256400000000005
13	2	8	-4.985675
12	2	7	-6.371002
11	2	6	-6.461579
10	2	5	-7.5210539999999995
9	2	4	-7.649251
8	2	3	-8.076112
7	2	2	-7.234267999999999
6	2	1	-16.144802
5	1	6	-3.9280459999999997
4	1	5	-6.004421
3	1	4	17.65889
2	1	3	-14.48515
1	1	2	16.760607
0	1	1	-14.280408
