k	j	i	s	
10	77	6	-1.739281	
10	76	5	0.431013	
10	76	4	0.661367	
10	75	3	-1.021315	
10	75	2	-1.537631	
10	74	1	-0.517064	
9	74	9	-2.341848	
9	74	8	-2.265138	
9	73	7	-1.548375	
9	73	6	-2.500786	
9	72	5	-2.243625	
9	72	4	-1.599609	
9	71	3	-3.152309	
9	71	2	-3.674109	
9	70	1	-7.341858	
8	70	7	-2.306630	
8	69	7	-0.013881	
8	69	6	-1.728777	
8	68	5	-1.632868	
8	68	4	-2.664377	
8	67	3	-1.608323	
8	67	2	-2.500972	
8	66	1	-7.395382	
7	66	9	-2.822659	
7	66	8	-3.537300	
7	65	7	-3.500744	
7	64	6	-4.129126	
7	64	5	-3.446138	
7	63	4	-3.180099	
7	62	3	-2.868662	
7	61	3	-2.354843	
7	60	2	-7.696806	
7	59	2	-10.009845	
7	58	1	-15.637935	
6	58	8	-5.266756	
6	57	8	-1.037338	
6	56	7	-4.280581	
6	55	7	2.061816	
6	54	6	6.424389	
6	53	6	9.400880	
6	52	5	4.075904	
6	51	5	1.207085	
6	51	4	1.198216	
6	50	3	6.073784	
6	49	3	13.055157	
6	48	2	10.286578	
6	47	2	7.814866	
6	47	1	8.096778	
5	47	14	7.349607	
5	46	13	12.003986	
5	45	12	16.400280	
5	44	11	7.110279	
5	44	10	7.146116	
5	43	9	9.058041	
5	43	8	9.231486	
5	42	7	17.925377	
5	41	7	19.593554	
5	40	6	17.146236	
5	39	6	16.394888	
5	38	5	11.322500	
5	37	5	11.139085	
5	36	4	11.039531	
5	35	4	9.199529	
5	34	3	7.069886	
5	33	3	6.724254	
5	32	2	3.439761	
5	31	2	2.188377	
5	31	1	2.349470	
4	31	9	2.297846	
4	30	8	0.865736	
4	30	7	0.571730	
4	29	6	4.577169	
4	28	5	11.549993	
4	27	4	19.961180	
4	26	3	18.824579	
4	25	2	18.592600	
4	24	1	16.796852	
3	24	10	-0.504320	
3	23	9	22.204840	
3	22	8	-1.045197	
3	21	7	24.094545	
3	20	6	-2.740525	
3	19	5	-1.506594	
3	19	4	-2.270476	
3	18	3	-5.571421	
3	17	2	-7.947078	
3	16	1	-6.318622	
2	16	13	-12.826566	
2	15	13	-13.442703	
2	14	12	-16.012442	
2	13	11	-8.398956	
2	13	10	-8.332609	
2	12	9	-8.131195	
2	12	8	-8.098649	
2	11	7	-6.366262	
2	11	6	-6.493865	
2	10	5	-6.913550	
2	10	4	-6.936385	
2	9	3	-6.367206	
2	9	2	-6.826185	
2	8	1	-19.136185	
1	8	6	-5.419809	
1	7	5	8.656374	
1	6	4	0.369264	
1	6	3	-1.908754	
1	5	2	14.115606	
1	4	2	0.424975	
1	4	1	-2.360599	
