k	j	i	s	
10	147	6	0.748788	
10	147	5	0.554643	
10	146	4	0.703261	
10	146	3	0.932475	
10	145	2	0.932924	
10	145	1	0.848456	
9	145	9	4.292033	
9	144	8	8.758851	
9	143	8	4.750753	
9	143	7	4.573500	
9	142	6	2.239753	
9	142	5	2.571831	
9	141	4	10.493762	
9	140	3	8.157149	
9	139	3	7.342318	
9	138	2	5.461775	
9	137	2	1.960165	
9	136	1	-2.928431	
8	136	7	0.069377	
8	135	7	0.231168	
8	134	6	-0.591710	
8	133	6	-1.452313	
8	132	5	-0.447308	
8	131	5	0.174013	
8	130	4	-1.416955	
8	129	4	0.200165	
8	128	3	2.129687	
8	127	3	-1.440425	
8	126	2	-4.484284	
8	125	2	-2.855707	
8	124	1	-5.704420	
7	124	9	-8.298293	
7	123	9	-2.488047	
7	122	8	-4.399753	
7	121	7	-3.910525	
7	120	6	-5.608015	
7	119	6	-3.089153	
7	118	5	-5.119206	
7	117	5	-7.270470	
7	116	4	-5.155447	
7	115	4	-6.882248	
7	114	3	-1.260088	
7	113	3	-2.531783	
7	112	2	4.599179	
7	111	2	3.791056	
7	110	1	-3.348993	
6	110	8	0.657524	
6	109	8	-1.113274	
6	109	7	-2.009068	
6	108	6	-2.057020	
6	107	5	0.332134	
6	106	4	1.032335	
6	105	3	0.407279	
6	105	2	-0.298899	
6	104	1	-3.655689	
5	104	14	2.194280	
5	104	13	0.833696	
5	103	12	0.159567	
5	103	11	0.269513	
5	102	10	1.122410	
5	102	9	1.149600	
5	101	8	1.214946	
5	101	7	1.230857	
5	100	6	2.089212	
5	100	5	2.035252	
5	99	4	2.398252	
5	99	3	2.400699	
5	98	2	2.822985	
5	98	1	2.903229	
4	98	9	1.946840	
4	97	8	1.702719	
4	96	7	2.532484	
4	96	6	1.945809	
4	95	5	15.686666	
4	94	4	3.379871	
4	93	4	4.572164	
4	92	3	0.396101	
4	91	3	6.849641	
4	90	2	-5.096336	
4	89	1	-6.400421	
3	89	10	1.590913	
3	88	9	-4.669190	
3	87	9	27.888880	
3	86	8	7.346438	
3	85	7	18.718082	
3	84	6	-0.718895	
3	83	5	0.600603	
3	83	4	-2.642878	
3	82	3	2.302684	
3	82	2	1.570896	
3	81	1	-5.787980	
2	81	13	3.189828	
2	81	12	2.786880	
2	80	11	2.765935	
2	80	10	4.490900	
2	79	9	3.487344	
2	79	8	3.254945	
2	78	7	3.977374	
2	78	6	3.572434	
2	77	5	2.160524	
2	77	4	2.079207	
2	76	3	2.874409	
2	76	2	2.496633	
2	75	1	6.483616	
1	75	6	2.471857	
1	75	5	5.312537	
1	74	4	28.338499	
1	73	3	17.692984	
1	72	2	28.381599	
1	71	2	6.792458	
1	70	1	8.059344	
