k	j	i	s	
10	192	6	-0.282851	
10	192	5	-0.296177	
10	191	4	-1.287788	
10	191	3	-1.353873	
10	190	2	0.779109	
10	189	2	-1.361842	
10	188	1	-0.038033	
9	188	9	2.988468	
9	187	9	6.796428	
9	186	8	7.038743	
9	185	7	10.304621	
9	184	6	9.746956	
9	183	5	10.003167	
9	182	4	7.071123	
9	181	3	10.779959	
9	180	2	8.362656	
9	179	2	3.306446	
9	179	1	4.466697	
8	179	7	2.024364	
8	178	6	3.570354	
8	177	5	3.532622	
8	176	4	3.627912	
8	175	3	2.844513	
8	174	2	5.357314	
8	173	2	1.898380	
8	173	1	2.773005	
7	173	9	0.051817	
7	172	8	0.182903	
7	171	8	0.666751	
7	170	7	-0.619508	
7	169	7	-8.047729	
7	168	6	1.630017	
7	167	6	-5.665589	
7	166	5	-0.069256	
7	165	5	-7.541732	
7	164	4	-2.277041	
7	163	4	-5.241064	
7	162	3	-0.871062	
7	161	3	-3.558624	
7	160	2	-1.836775	
7	159	2	-1.952881	
7	158	1	4.952734	
6	158	8	-0.470206	
6	157	8	3.015563	
6	156	7	-3.182873	
6	155	7	0.067484	
6	154	6	-7.993580	
6	153	6	-5.205101	
6	152	5	-4.406098	
6	151	5	-0.707751	
6	150	4	0.682853	
6	149	4	0.730346	
6	148	3	3.836134	
6	147	3	5.573288	
6	146	2	2.609383	
6	145	2	-0.316747	
6	144	1	-3.879432	
5	144	14	-2.226485	
5	143	13	-0.134520	
5	143	12	-0.365669	
5	142	11	-0.589315	
5	141	11	0.314957	
5	141	10	0.104361	
5	140	9	0.350822	
5	140	8	0.166526	
5	139	7	0.337341	
5	139	6	0.361754	
5	138	5	0.013042	
5	138	4	0.032331	
5	137	3	-0.027663	
5	137	2	0.039830	
5	136	1	0.431949	
4	136	9	0.038155	
4	136	8	-0.613430	
4	135	7	1.366287	
4	135	6	0.944873	
4	134	5	-1.004019	
4	133	5	1.076607	
4	132	4	-2.162141	
4	131	3	3.672296	
4	130	2	1.268276	
4	129	1	-1.236182	
3	129	10	-2.765476	
3	128	9	-13.227757	
3	127	9	13.006715	
3	126	8	7.408088	
3	125	7	4.295328	
3	125	6	-1.301942	
3	124	5	-4.430317	
3	124	4	-7.351429	
3	123	3	-5.492941	
3	123	2	-3.554196	
3	122	1	-11.640086	
2	122	13	3.071440	
2	122	12	4.279341	
2	121	11	3.787271	
2	121	10	3.395501	
2	120	9	4.649229	
2	120	8	4.570312	
2	119	7	3.163771	
2	119	6	2.967450	
2	118	5	3.185885	
2	118	4	2.866495	
2	117	3	2.693519	
2	117	2	2.034131	
2	116	1	2.913989	
1	116	6	5.108528	
1	116	5	5.067688	
1	115	4	26.348207	
1	114	3	18.968344	
1	113	3	15.933941	
1	112	2	11.733040	
1	111	2	8.092771	
1	110	1	-3.955774	
