	k	i	s
90	10	6	3.3829359999999995
89	10	5	-1.0621950000000004
88	10	4	4.361889000000001
87	10	3	9.176164
86	10	2	11.969786
85	10	1	7.309089
84	9	9	7.0151889999999995
83	9	8	3.171586
82	9	7	3.359271
81	9	6	6.529944
80	9	5	5.7629410000000005
79	9	4	9.032351
78	9	3	7.663659
77	9	2	3.502247
76	9	1	1.232923
75	8	7	-1.5448600000000003
74	8	6	-2.551381
73	8	5	3.0492850000000002
72	8	4	-0.12903399999999998
71	8	3	0.609112
70	8	2	2.461201
69	8	1	1.406307
68	7	9	2.1580209999999997
67	7	8	0.538519
66	7	7	4.771887
65	7	6	6.024426999999999
64	7	5	14.098607000000001
63	7	4	10.841131
62	7	3	24.753991
61	7	2	5.951184
60	7	1	-0.346418
59	6	8	-4.977328
58	6	7	-16.153063
57	6	6	-8.905026
56	6	5	-1.520228
55	6	4	-2.963181
54	6	3	-9.488883999999999
53	6	2	-2.005296
52	6	1	-10.713408
51	5	14	0.783633
50	5	13	-1.2585220000000001
49	5	12	1.9411459999999998
48	5	11	9.53838
47	5	10	15.768170999999999
46	5	9	14.707842000000001
45	5	8	19.151415
44	5	7	22.630866
43	5	6	24.226817
42	5	5	24.32891
41	5	4	23.335335
40	5	3	12.783943
39	5	2	4.260672
38	5	1	-0.056199
37	4	9	-17.316197
36	4	8	-5.794834
35	4	7	-6.859029
34	4	6	-14.047004000000001
33	4	5	-1.019655
32	4	4	-9.093213
31	4	3	28.520626
30	4	2	-8.538785
29	4	1	28.918303
28	3	10	1.7739449999999999
27	3	9	21.220888000000002
26	3	8	1.37129
25	3	7	27.645103000000002
24	3	6	5.9144120000000004
23	3	5	3.3000260000000003
22	3	4	6.663536
21	3	3	12.128027
20	3	2	4.214605000000001
19	3	1	4.548497
18	2	13	1.347367
17	2	12	1.60311
16	2	11	1.8317869999999998
15	2	10	1.573143
14	2	9	1.7721669999999998
13	2	8	2.486714
12	2	7	2.8425860000000003
11	2	6	2.585559
10	2	5	3.061305
9	2	4	3.955982
8	2	3	4.532169000000001
7	2	2	8.286252000000001
6	2	1	2.5258220000000002
5	1	6	2.460515
4	1	5	-7.773942999999999
3	1	4	16.276816
2	1	3	-1.701905
1	1	2	18.212124
0	1	1	-9.344549
