	k	i	s
90	10	6	-1.2335049999999999
89	10	5	-1.268263
88	10	4	-1.971787
87	10	3	-2.149036
86	10	2	-2.736082
85	10	1	-4.182182
84	9	9	-1.4213719999999999
83	9	8	-1.828038
82	9	7	-2.615783
81	9	6	-2.01212
80	9	5	-3.3042529999999997
79	9	4	-3.6428599999999998
78	9	3	1.318957
77	9	2	3.6102809999999996
76	9	1	1.9894900000000002
75	8	7	-0.668097
74	8	6	-0.07728
73	8	5	0.933026
72	8	4	0.8730969999999999
71	8	3	0.180835
70	8	2	-2.263998
69	8	1	-4.44451
68	7	9	-0.81813
67	7	8	-3.3198
66	7	7	-2.357901
65	7	6	-0.481706
64	7	5	-0.9408350000000001
63	7	4	-0.48837600000000003
62	7	3	4.282136
61	7	2	2.1915970000000002
60	7	1	2.5399439999999998
59	6	8	1.7249439999999998
58	6	7	7.0525720000000005
57	6	6	4.5052080000000005
56	6	5	7.123912
55	6	4	3.790062
54	6	3	5.002345
53	6	2	1.5447529999999998
52	6	1	0.168256
51	5	14	7.091855000000001
50	5	13	2.6481790000000003
49	5	12	2.630973
48	5	11	5.154333
47	5	10	14.549529
46	5	9	18.607495
45	5	8	19.264381
44	5	7	22.285414
43	5	6	21.072472
42	5	5	5.535614
41	5	4	-0.9497850000000001
40	5	3	0.36233100000000007
39	5	2	-1.020508
38	5	1	-5.900572
37	4	9	-1.465435
36	4	8	-2.203335
35	4	7	-6.149079
34	4	6	-9.627336999999999
33	4	5	-9.828216000000001
32	4	4	-2.520209
31	4	3	-2.9285330000000003
30	4	2	-5.344598
29	4	1	-5.617004
28	3	10	-6.072627
27	3	9	24.32467
26	3	8	2.31606
25	3	7	38.420026
24	3	6	-2.860272
23	3	5	-5.8673530000000005
22	3	4	-2.3525549999999997
21	3	3	-2.8889110000000002
20	3	2	1.445519
19	3	1	-4.791148000000001
18	2	13	3.224265
17	2	12	6.6578230000000005
16	2	11	10.816664
15	2	10	10.79529
14	2	9	8.341756
13	2	8	3.124777
12	2	7	3.733953
11	2	6	3.690467
10	2	5	8.479699
9	2	4	4.681795
8	2	3	4.280009
7	2	2	3.954611
6	2	1	3.4258669999999998
5	1	6	1.473696
4	1	5	11.727139999999999
3	1	4	10.08252
2	1	3	41.072934
1	1	2	44.140528
0	1	1	8.754521
