	k	i	s
90	10	6	-3.749027
89	10	5	-1.713159
88	10	4	-2.0916799999999998
87	10	3	-1.8227060000000002
86	10	2	-1.960336
85	10	1	-1.6930450000000001
84	9	9	10.779315
83	9	8	8.418495
82	9	7	3.152992
81	9	6	1.9286240000000001
80	9	5	2.613251
79	9	4	3.161143
78	9	3	4.195498000000001
77	9	2	4.760658
76	9	1	4.802182
75	8	7	4.490479
74	8	6	6.889807000000001
73	8	5	6.899601
72	8	4	5.751727
71	8	3	9.590914999999999
70	8	2	5.722246
69	8	1	1.7117369999999998
68	7	9	0.740693
67	7	8	0.509104
66	7	7	1.0016770000000002
65	7	6	0.671463
64	7	5	0.535825
63	7	4	7.569570000000001
62	7	3	3.0322750000000003
61	7	2	4.688065
60	7	1	-0.718206
59	6	8	-5.618558
58	6	7	-1.382884
57	6	6	-1.827578
56	6	5	1.86535
55	6	4	-0.105004
54	6	3	-2.000149
53	6	2	-3.218279
52	6	1	-4.93128
51	5	14	4.442496
50	5	13	2.739778
49	5	12	2.4450279999999998
48	5	11	1.8066200000000001
47	5	10	2.6999619999999998
46	5	9	2.287118
45	5	8	3.031088
44	5	7	2.6251889999999998
43	5	6	3.675722
42	5	5	3.9213459999999998
41	5	4	2.2635919999999996
40	5	3	2.1929990000000004
39	5	2	2.5219549999999997
38	5	1	2.542582
37	4	9	0.877871
36	4	8	2.2539279999999997
35	4	7	3.246607
34	4	6	18.805557
33	4	5	16.913935000000002
32	4	4	17.030537
31	4	3	7.8272330000000006
30	4	2	28.776421000000003
29	4	1	14.920132
28	3	10	5.0923490000000005
27	3	9	5.896329
26	3	8	-2.039973
25	3	7	8.776105000000001
24	3	6	1.13992
23	3	5	0.24021900000000002
22	3	4	4.853417
21	3	3	2.479202
20	3	2	13.018160000000002
19	3	1	4.771517
18	2	13	-1.315624
17	2	12	-4.023434
16	2	11	-3.9466129999999997
15	2	10	-5.375999
14	2	9	-5.725065
13	2	8	-7.1074660000000005
12	2	7	-7.128222999999999
11	2	6	-6.694803
10	2	5	-6.663392999999999
9	2	4	-4.76231
8	2	3	-4.357245
7	2	2	-4.745328
6	2	1	-4.475507
5	1	6	1.069577
4	1	5	-1.930563
3	1	4	-2.3885970000000003
2	1	3	-1.799336
1	1	2	4.878296
0	1	1	-15.319978
