k	j	i	s	
10	94	6	1.781563	
10	94	5	2.085743	
10	93	4	-3.737831	
10	92	3	4.622729	
10	91	3	-4.874078	
10	90	2	4.397022	
10	89	2	-3.122044	
10	88	1	4.417326	
9	88	9	4.402371	
9	87	9	2.830467	
9	86	8	2.381680	
9	85	8	6.349123	
9	84	7	3.274788	
9	83	6	4.726795	
9	82	5	3.301943	
9	81	5	4.291435	
9	81	4	3.487500	
9	80	3	10.792443	
9	79	3	8.425311	
9	78	2	1.142322	
9	77	2	2.406882	
9	77	1	3.046381	
8	77	7	0.541016	
8	76	6	3.657737	
8	75	5	4.722288	
8	74	4	1.235420	
8	73	4	1.201506	
8	72	3	1.266448	
8	71	3	1.923747	
8	70	2	1.060272	
8	69	2	2.269510	
8	68	1	-0.495235	
7	68	9	-3.665030	
7	68	8	-3.064456	
7	67	7	-4.057941	
7	66	6	-8.222002	
7	65	6	-6.339619	
7	64	5	-9.436580	
7	63	5	-3.227115	
7	62	4	-8.842587	
7	61	4	-6.074978	
7	60	3	-5.429250	
7	59	3	-4.646875	
7	58	2	-3.849017	
7	57	2	1.000301	
7	56	1	0.281210	
6	56	8	0.545120	
6	55	8	-3.090720	
6	54	7	-1.102308	
6	54	6	-0.700621	
6	53	5	-0.376769	
6	53	4	0.116063	
6	52	3	2.137777	
6	51	3	-0.180580	
6	50	2	-1.347867	
6	49	2	-4.907749	
6	48	1	-4.023229	
5	48	14	-0.370559	
5	47	14	-2.932290	
5	46	13	0.012625	
5	46	12	0.047018	
5	45	11	-0.111171	
5	44	10	1.923319	
5	43	9	0.209989	
5	42	8	0.397787	
5	41	7	-1.283134	
5	40	6	-0.470681	
5	40	5	-0.472966	
5	39	4	1.111886	
5	39	3	1.198529	
5	38	2	1.142206	
5	37	1	1.687085	
4	37	9	-3.042118	
4	37	8	-5.186762	
4	36	7	11.447607	
4	35	7	3.744167	
4	35	6	0.023898	
4	34	5	-6.934728	
4	33	5	-1.398181	
4	33	4	-2.565881	
4	32	3	-11.704952	
4	32	2	-6.352002	
4	31	1	-51.011772	
3	31	10	1.145028	
3	31	9	5.485078	
3	30	8	1.397819	
3	30	7	12.665522	
3	29	6	2.240158	
3	29	5	1.368626	
3	28	4	2.040228	
3	28	3	0.765140	
3	27	2	2.116730	
3	27	1	1.218372	
2	27	13	1.296296	
2	26	12	1.554214	
2	26	11	1.421704	
2	25	10	0.242020	
2	25	9	0.053600	
2	24	8	0.264650	
2	24	7	0.249257	
2	23	6	1.749877	
2	23	5	2.028062	
2	22	4	-0.103948	
2	22	3	0.223415	
2	21	2	-1.839932	
2	21	1	-1.052221	
1	21	6	3.180121	
1	20	5	-1.237626	
1	20	4	0.731624	
1	19	3	-0.561754	
1	19	2	1.687521	
1	18	1	9.443557	
