	k	i	s
90	10	6	-0.35036300000000004
89	10	5	-0.814005
88	10	4	0.056302
87	10	3	0.561513
86	10	2	-1.768733
85	10	1	-2.351209
84	9	9	-1.9997779999999998
83	9	8	-1.0673540000000001
82	9	7	-0.6236
81	9	6	-1.274081
80	9	5	1.8008080000000002
79	9	4	-1.23258
78	9	3	-1.477264
77	9	2	-1.9934330000000002
76	9	1	-3.762139
75	8	7	-2.674232
74	8	6	-1.8256259999999997
73	8	5	-7.8196460000000005
72	8	4	-1.688593
71	8	3	-2.232423
70	8	2	-2.294763
69	8	1	-8.691735000000001
68	7	9	-0.44725200000000004
67	7	8	-1.9225849999999998
66	7	7	0.184825
65	7	6	0.512112
64	7	5	-1.9623169999999999
63	7	4	-1.400719
62	7	3	2.882228
61	7	2	-0.013780999999999821
60	7	1	1.6514330000000002
59	6	8	-1.245578
58	6	7	-1.267708
57	6	6	-0.6523909999999999
56	6	5	-0.028964
55	6	4	-0.294562
54	6	3	-2.372228
53	6	2	-3.662504
52	6	1	-3.0604459999999998
51	5	14	-0.016759
50	5	13	0.43378500000000003
49	5	12	4.299125999999999
48	5	11	-0.034279000000000004
47	5	10	0.134679
46	5	9	1.2990540000000002
45	5	8	1.4499360000000001
44	5	7	2.166353
43	5	6	2.014277
42	5	5	1.944351
41	5	4	7.157373000000001
40	5	3	6.809865
39	5	2	0.9062520000000001
38	5	1	1.0491709999999999
37	4	9	-1.447206
36	4	8	-1.343439
35	4	7	-0.260509
34	4	6	0.687697
33	4	5	14.76776
32	4	4	5.375712
31	4	3	24.462971
30	4	2	7.540534000000001
29	4	1	15.211582
28	3	10	0.280955
27	3	9	10.157441999999998
26	3	8	5.355073
25	3	7	15.373548999999999
24	3	6	-17.70548
23	3	5	-15.789688000000002
22	3	4	-1.7889440000000003
21	3	3	8.345498
20	3	2	2.031081
19	3	1	1.462621
18	2	13	2.1282099999999997
17	2	12	5.80374
16	2	11	5.992933
15	2	10	1.561653
14	2	9	1.350298
13	2	8	1.4880879999999999
12	2	7	1.528335
11	2	6	0.467681
10	2	5	0.5313180000000001
9	2	4	0.36796799999999996
8	2	3	0.577102
7	2	2	-0.373264
6	2	1	0.184501
5	1	6	-0.46734499999999995
4	1	5	6.289840999999999
3	1	4	-1.088256
2	1	3	15.925497000000002
1	1	2	12.422538000000001
0	1	1	1.226316
