	k	i	s
90	10	6	0.517842
89	10	5	0.5952270000000001
88	10	4	-0.284988
87	10	3	0.45366899999999993
86	10	2	-0.12363199999999999
85	10	1	0.32361999999999996
84	9	9	0.004640999999999999
83	9	8	-2.381577
82	9	7	-2.684704
81	9	6	-0.279149
80	9	5	0.347889
79	9	4	-3.654672
78	9	3	-3.0885380000000002
77	9	2	-0.540978
76	9	1	-1.064589
75	8	7	-4.892991
74	8	6	-4.4920860000000005
73	8	5	-4.5198540000000005
72	8	4	-3.329471
71	8	3	-4.41959
70	8	2	-6.943588
69	8	1	-5.745157
68	7	9	-2.293053
67	7	8	-1.7061520000000001
66	7	7	-1.9091799999999999
65	7	6	-2.96826
64	7	5	-2.32638
63	7	4	-1.221358
62	7	3	-0.715803
61	7	2	-3.2887
60	7	1	-2.874002
59	6	8	-0.24387199999999998
58	6	7	-0.61945
57	6	6	2.852583
56	6	5	4.761177
55	6	4	1.206104
54	6	3	0.741726
53	6	2	2.2835330000000003
52	6	1	1.244737
51	5	14	3.9586639999999997
50	5	13	11.322563
49	5	12	10.822233
48	5	11	5.783487
47	5	10	5.925939
46	5	9	12.883258
45	5	8	13.179012
44	5	7	13.401751
43	5	6	28.705818
42	5	5	25.476088999999998
41	5	4	5.70463
40	5	3	5.620444
39	5	2	4.150655
38	5	1	4.217669
37	4	9	-0.144847
36	4	8	3.3914120000000003
35	4	7	6.4590309999999995
34	4	6	10.156527
33	4	5	16.775387
32	4	4	6.866925999999999
31	4	3	42.734367
30	4	2	17.99494
29	4	1	43.890343
28	3	10	-13.328016
27	3	9	18.813593
26	3	8	-2.878906
25	3	7	28.609509999999997
24	3	6	-1.330047
23	3	5	-0.503687
22	3	4	0.864086
21	3	3	0.057511
20	3	2	1.923748
19	3	1	3.846503
18	2	13	0.16765
17	2	12	-1.8590740000000001
16	2	11	-2.252077
15	2	10	-1.7009900000000002
14	2	9	-2.202755
13	2	8	-3.119313
12	2	7	-3.2970669999999997
11	2	6	-2.2771939999999997
10	2	5	-2.151204
9	2	4	-4.077744999999999
8	2	3	-3.789211
7	2	2	-2.4883450000000003
6	2	1	-2.126709
5	1	6	-4.811711
4	1	5	-6.101394
3	1	4	-8.676092
2	1	3	-8.025327
1	1	2	-8.366595
0	1	1	-14.592985
