	k	i	s
90	10	6	0.14773699999999998
89	10	5	0.15892
88	10	4	0.779613
87	10	3	-0.150408
86	10	2	-0.22767300000000001
85	10	1	1.337683
84	9	9	-0.649258
83	9	8	-1.070946
82	9	7	0.21200700000000003
81	9	6	0.350893
80	9	5	4.188703
79	9	4	-1.8738569999999999
78	9	3	-1.486912
77	9	2	-3.386839
76	9	1	0.775095
75	8	7	-1.3065930000000001
74	8	6	0.078012
73	8	5	-2.112698
72	8	4	-2.242216
71	8	3	-0.8845770000000001
70	8	2	-2.017851
69	8	1	-8.071545
68	7	9	1.174758
67	7	8	-0.392425
66	7	7	1.5159120000000001
65	7	6	-0.04871700000000001
64	7	5	-0.697414
63	7	4	-2.987905
62	7	3	-1.9187980000000002
61	7	2	-2.0801979999999998
60	7	1	-2.227427
59	6	8	-4.274967
58	6	7	-3.616761
57	6	6	-3.5208199999999996
56	6	5	-3.3810559999999996
55	6	4	-3.2878239999999996
54	6	3	-2.7950470000000003
53	6	2	-3.713235
52	6	1	-6.827866
51	5	14	-0.31423
50	5	13	-0.240485
49	5	12	-0.543774
48	5	11	-0.042730000000000004
47	5	10	0.13789
46	5	9	0.453633
45	5	8	0.83042
44	5	7	2.735894
43	5	6	2.193243
42	5	5	6.1807110000000005
41	5	4	6.635156
40	5	3	2.170269
39	5	2	5.5147770000000005
38	5	1	1.097118
37	4	9	-3.387235
36	4	8	-2.424859
35	4	7	0.10887100000000001
34	4	6	5.63952
33	4	5	21.054904999999998
32	4	4	8.873263
31	4	3	29.402292
30	4	2	15.473832000000002
29	4	1	36.552242
28	3	10	-1.338409
27	3	9	15.235057000000001
26	3	8	0.603539
25	3	7	1.0479010000000013
24	3	6	-5.691561
23	3	5	-11.255892
22	3	4	0.573081
21	3	3	14.29259
20	3	2	7.110518
19	3	1	2.636948
18	2	13	1.2154340000000001
17	2	12	2.097882
16	2	11	0.861137
15	2	10	-2.941398
14	2	9	-1.1414309999999999
13	2	8	-1.1401629999999998
12	2	7	-4.605489
11	2	6	-1.837118
10	2	5	-0.522068
9	2	4	-0.7037479999999999
8	2	3	-0.260515
7	2	2	-0.7769229999999999
6	2	1	-3.074281
5	1	6	-0.115225
4	1	5	-0.624858
3	1	4	23.153060999999997
2	1	3	22.561879
1	1	2	22.224445
0	1	1	-0.559875
