	k	i	s
90	10	6	3.9393830000000003
89	10	5	-1.508923
88	10	4	2.801699
87	10	3	3.6597660000000003
86	10	2	0.25557699999999983
85	10	1	0.9073530000000001
84	9	9	-1.457193
83	9	8	1.6518869999999999
82	9	7	1.294052
81	9	6	2.1588220000000002
80	9	5	-1.1071
79	9	4	-1.296589
78	9	3	-0.232759
77	9	2	0.010734999999999939
76	9	1	-2.791241
75	8	7	-0.29468400000000006
74	8	6	-0.813022
73	8	5	-1.095726
72	8	4	-1.093594
71	8	3	-0.542706
70	8	2	-2.411987
69	8	1	-1.5706069999999999
68	7	9	-3.728535
67	7	8	-0.45622299999999993
66	7	7	-0.327153
65	7	6	1.2026370000000002
64	7	5	3.462459
63	7	4	2.534482
62	7	3	4.670681
61	7	2	-0.7359790000000002
60	7	1	-0.242931
59	6	8	-5.4615089999999995
58	6	7	-7.395768
57	6	6	-1.0864639999999999
56	6	5	0.887698
55	6	4	0.114633
54	6	3	0.287557
53	6	2	0.037413999999999996
52	6	1	-0.28585
51	5	14	1.411833
50	5	13	2.163019
49	5	12	2.303884
48	5	11	7.426219
47	5	10	5.5376840000000005
46	5	9	2.123427
45	5	8	8.203248
44	5	7	7.286192
43	5	6	2.947184
42	5	5	4.812973
41	5	4	6.325977
40	5	3	10.620491999999999
39	5	2	4.52445
38	5	1	1.995064
37	4	9	-1.39509
36	4	8	-0.09594
35	4	7	2.418668
34	4	6	9.21434
33	4	5	13.682062
32	4	4	7.337146000000001
31	4	3	34.710976
30	4	2	17.288431
29	4	1	39.434855999999996
28	3	10	-12.491173999999999
27	3	9	19.155781
26	3	8	-10.188537
25	3	7	10.049123000000002
24	3	6	-7.919881999999999
23	3	5	-14.518279999999999
22	3	4	4.764741000000001
21	3	3	15.600412
20	3	2	7.7376819999999995
19	3	1	4.083277
18	2	13	-0.8117479999999999
17	2	12	-0.664568
16	2	11	-0.6325529999999999
15	2	10	-1.4603959999999998
14	2	9	-1.552624
13	2	8	-1.346757
12	2	7	-1.1106850000000001
11	2	6	-1.138466
10	2	5	-0.933894
9	2	4	-0.043974
8	2	3	0.286378
7	2	2	0.6602779999999999
6	2	1	0.447245
5	1	6	-1.51512
4	1	5	-2.140673
3	1	4	7.4804889999999995
2	1	3	12.430819000000003
1	1	2	13.183442000000003
0	1	1	-5.249996
