	k	i	s
90	10	6	-0.21178699999999998
89	10	5	0.29899899999999996
88	10	4	0.187424
87	10	3	-0.785499
86	10	2	-1.211663
85	10	1	-2.414186
84	9	9	-1.691026
83	9	8	-1.450719
82	9	7	-0.704703
81	9	6	-0.5425939999999999
80	9	5	-0.9644739999999999
79	9	4	-2.17403
78	9	3	-6.118161
77	9	2	-5.275934
76	9	1	0.564249
75	8	7	-0.342624
74	8	6	1.504793
73	8	5	2.167596
72	8	4	-2.009398
71	8	3	-1.783725
70	8	2	-0.24360300000000001
69	8	1	0.6033930000000001
68	7	9	-0.824586
67	7	8	-0.739879
66	7	7	-2.162686
65	7	6	-1.910739
64	7	5	-1.549793
63	7	4	-1.163317
62	7	3	-0.719111
61	7	2	0.7206130000000001
60	7	1	0.962167
59	6	8	-0.285368
58	6	7	-2.8771240000000002
57	6	6	-3.2776730000000005
56	6	5	-2.840909
55	6	4	-4.4908150000000004
54	6	3	-4.135822
53	6	2	-4.668723
52	6	1	-8.41573
51	5	14	-1.6044129999999999
50	5	13	-1.0014049999999999
49	5	12	-4.381698999999999
48	5	11	-5.767036
47	5	10	-5.402565
46	5	9	-5.431882
45	5	8	-3.8118980000000002
44	5	7	0.024035999999999995
43	5	6	1.381573
42	5	5	0.422712
41	5	4	0.421908
40	5	3	-0.895609
39	5	2	-3.368156
38	5	1	-2.516541
37	4	9	-2.368782
36	4	8	-2.3088610000000003
35	4	7	0.859984
34	4	6	0.369261
33	4	5	8.293625
32	4	4	-5.025561
31	4	3	54.062027
30	4	2	12.37282
29	4	1	29.929499
28	3	10	-0.5122180000000001
27	3	9	7.703664999999997
26	3	8	-2.815946
25	3	7	35.396862
24	3	6	-9.240385999999999
23	3	5	-0.41507999999999967
22	3	4	3.233895
21	3	3	2.238839
20	3	2	3.069433
19	3	1	1.7106119999999998
18	2	13	-0.556821
17	2	12	0.201823
16	2	11	0.17727300000000001
15	2	10	-0.219401
14	2	9	-0.521471
13	2	8	-0.5286569999999999
12	2	7	-0.445579
11	2	6	-0.430983
10	2	5	-0.225831
9	2	4	0.8464799999999999
8	2	3	1.534991
7	2	2	2.8667890000000003
6	2	1	-0.20544099999999998
5	1	6	0.527736
4	1	5	-1.9738650000000002
3	1	4	-1.877194
2	1	3	15.902528999999998
1	1	2	16.451939000000003
0	1	1	-2.663813
