k	j	i	s	
10	94	6	-0.146161	
10	93	5	0.323397	
10	93	4	-0.014433	
10	92	3	-0.376471	
10	91	3	0.256612	
10	90	2	-0.550890	
10	90	1	-0.249160	
9	90	9	-1.723083	
9	89	8	-0.711295	
9	89	7	-0.950520	
9	88	6	-3.318910	
9	87	6	-0.796084	
9	86	5	-2.629392	
9	85	5	-1.073409	
9	84	4	-1.291706	
9	83	3	-2.827747	
9	82	2	-1.095224	
9	81	1	-2.292764	
8	81	7	-1.281590	
8	80	6	-2.747099	
8	79	5	0.006612	
8	78	4	0.004584	
8	77	4	-0.033467	
8	76	3	0.231486	
8	75	2	1.236156	
8	74	1	0.772423	
7	74	9	2.285503	
7	73	9	0.100673	
7	72	8	1.299441	
7	72	7	1.427582	
7	71	6	0.318612	
7	71	5	-0.118047	
7	70	4	2.351368	
7	70	3	3.091409	
7	69	2	1.050335	
7	69	1	-1.365193	
6	69	8	0.310143	
6	68	7	-3.880068	
6	68	6	-4.130783	
6	67	5	-0.543297	
6	67	4	-2.970185	
6	66	3	-3.588934	
6	66	2	-3.613417	
6	65	1	-9.790906	
5	65	14	-2.315279	
5	65	13	-1.705038	
5	64	12	-0.882158	
5	64	11	-1.660694	
5	63	10	-0.691379	
5	63	9	-0.614359	
5	62	8	-0.535645	
5	62	7	-0.567314	
5	61	6	-1.331949	
5	61	5	-1.565584	
5	60	4	-1.434587	
5	60	3	-1.400637	
5	59	2	-1.692759	
5	59	1	-1.361981	
4	59	9	3.525560	
4	58	8	3.185560	
4	58	7	7.005374	
4	57	6	2.323066	
4	56	5	15.533939	
4	55	4	12.407136	
4	54	3	6.162096	
4	54	2	-0.401390	
4	53	1	9.403443	
3	53	10	-1.199632	
3	53	9	-4.652808	
3	52	8	-5.206630	
3	52	7	0.132293	
3	51	6	-4.335253	
3	51	5	-3.763141	
3	50	4	-0.870060	
3	50	3	0.180162	
3	49	2	-9.210307	
3	48	1	-1.593853	
2	48	13	1.604187	
2	47	13	1.202793	
2	47	12	-0.054984	
2	46	11	1.950725	
2	46	10	2.115952	
2	45	9	1.227818	
2	45	8	1.315794	
2	44	7	2.560973	
2	44	6	2.660249	
2	43	5	3.589529	
2	43	4	3.609392	
2	42	3	3.437657	
2	42	2	3.508907	
2	41	1	2.949270	
1	41	6	4.947188	
1	41	5	5.715380	
1	40	4	27.896671	
1	39	3	14.616565	
1	38	2	29.735054	
1	37	2	6.572883	
1	36	1	11.654365	
