k	j	i	s	
10	73	6	0.192810	
10	73	5	0.078815	
10	72	4	0.599318	
10	72	3	0.861099	
10	71	2	0.170474	
10	71	1	0.307439	
9	71	9	1.075750	
9	70	8	2.071586	
9	70	7	2.086676	
9	69	6	6.404766	
9	68	5	3.771472	
9	67	5	4.522849	
9	66	4	4.600113	
9	65	3	7.166049	
9	64	2	8.971665	
9	63	2	2.241840	
9	62	1	2.584553	
8	62	7	-4.048617	
8	61	7	-3.957704	
8	60	6	-1.502845	
8	59	6	2.724280	
8	58	5	1.167086	
8	57	4	1.886851	
8	57	3	1.166564	
8	56	2	1.685426	
8	56	1	1.265705	
7	56	9	1.772953	
7	55	8	0.556364	
7	55	7	0.482848	
7	54	6	0.170506	
7	54	5	0.717748	
7	53	4	1.694789	
7	53	3	2.665922	
7	52	2	2.908139	
7	52	1	0.045728	
6	52	8	-4.849844	
6	51	7	-6.118513	
6	51	6	-4.858752	
6	50	5	-5.202161	
6	50	4	-7.605439	
6	49	3	-3.532153	
6	49	2	-5.035019	
6	48	1	-20.566143	
5	48	14	0.887764	
5	48	13	-1.904114	
5	47	12	1.270850	
5	47	11	0.820912	
5	46	10	2.444886	
5	46	9	2.623128	
5	45	8	2.912921	
5	45	7	2.880689	
5	44	6	2.771102	
5	44	5	2.392899	
5	43	4	3.467659	
5	43	3	3.281770	
5	42	2	3.171953	
5	42	1	3.239972	
4	42	9	3.551143	
4	41	8	4.846150	
4	41	7	9.893525	
4	40	6	4.126148	
4	40	5	8.803554	
4	39	4	17.098045	
4	38	3	13.513673	
4	37	3	24.798744	
4	36	2	6.774532	
4	36	1	9.293455	
3	36	10	-0.325133	
3	35	9	-12.634927	
3	35	8	-5.974265	
3	34	7	-3.529336	
3	34	6	0.481710	
3	33	5	-0.580332	
3	33	4	-3.338522	
3	32	3	2.736174	
3	32	2	0.403935	
3	31	1	-10.332455	
2	31	13	1.155682	
2	31	12	1.275059	
2	30	11	1.708593	
2	30	10	1.841314	
2	29	9	1.392068	
2	29	8	1.369008	
2	28	7	-0.048442	
2	28	6	0.106803	
2	27	5	0.991991	
2	27	4	1.230613	
2	26	3	4.930915	
2	25	2	4.628519	
2	25	1	4.412771	
1	25	6	-1.420250	
1	24	5	6.826584	
1	24	4	12.766296	
1	23	3	-1.355755	
1	22	2	23.635246	
1	21	1	-6.602196	
