k	j	i	s	
10	89	6	-0.204723	
10	88	5	0.254631	
10	88	4	-0.253359	
10	87	3	0.184185	
10	87	2	0.136716	
10	86	1	-0.601864	
9	86	9	0.607321	
9	86	8	0.202948	
9	85	7	-0.220814	
9	85	6	0.398875	
9	84	5	2.061771	
9	83	5	1.106579	
9	83	4	0.396851	
9	82	3	5.424916	
9	81	3	4.008241	
9	80	2	2.104070	
9	79	2	1.277789	
9	79	1	2.456328	
8	79	7	1.989615	
8	78	6	-0.434088	
8	77	5	3.684068	
8	76	4	2.212176	
8	75	4	7.712841	
8	74	3	5.538662	
8	73	2	2.789661	
8	73	1	3.443110	
7	73	9	0.066023	
7	72	8	2.956709	
7	71	7	1.983835	
7	71	6	1.928409	
7	70	5	2.099510	
7	69	4	1.579505	
7	69	3	0.671024	
7	68	2	2.476823	
7	68	1	1.561928	
6	68	8	1.798522	
6	67	7	0.766160	
6	67	6	-0.482102	
6	66	5	-0.874934	
6	66	4	-2.471804	
6	65	3	-4.178855	
6	65	2	-5.360179	
6	64	1	-8.866854	
5	64	14	-1.683658	
5	64	13	-0.826426	
5	63	12	1.429212	
5	63	11	0.924188	
5	62	10	2.098477	
5	62	9	1.887504	
5	61	8	2.194679	
5	61	7	1.941545	
5	60	6	2.002176	
5	60	5	2.197741	
5	59	4	1.161141	
5	59	3	1.344110	
5	58	2	1.053152	
5	58	1	1.135618	
4	58	9	4.547919	
4	57	8	9.171164	
4	56	7	8.690064	
4	55	6	5.611913	
4	54	5	13.785445	
4	53	4	14.126927	
4	52	3	18.780891	
4	51	2	7.152783	
4	50	1	20.550840	
3	50	10	-4.031370	
3	49	10	-2.186604	
3	48	9	13.792116	
3	47	8	0.070004	
3	47	7	-1.405877	
3	46	6	4.902929	
3	46	5	2.517271	
3	45	4	2.834402	
3	45	3	1.392317	
3	44	2	3.145284	
3	44	1	2.706000	
2	44	13	-1.217445	
2	43	12	-2.376563	
2	43	11	-2.370602	
2	42	10	-0.970865	
2	42	9	-1.293339	
2	41	8	-2.621062	
2	41	7	-2.872408	
2	40	6	-1.802358	
2	40	5	-1.504249	
2	39	4	-2.213962	
2	39	3	-1.916368	
2	38	2	-0.485848	
2	38	1	0.255097	
1	38	6	-2.984999	
1	37	5	-6.088837	
1	37	4	-5.457576	
1	36	3	-2.740985	
1	36	2	-1.794987	
1	35	1	-6.557376	
