k	j	i	s	
10	111	6	0.633927	
10	110	5	2.091713	
10	109	5	3.593142	
10	108	4	1.770499	
10	107	3	3.314100	
10	106	2	3.610704	
10	105	2	2.206186	
10	105	1	2.515491	
9	105	9	2.733949	
9	104	8	3.092101	
9	103	8	3.815117	
9	102	7	5.402598	
9	101	7	4.499622	
9	100	6	6.399888	
9	99	5	6.220412	
9	98	4	3.806079	
9	97	4	7.012507	
9	96	3	7.515506	
9	95	3	10.847690	
9	94	2	4.768546	
9	93	2	-1.240094	
9	93	1	2.139568	
8	93	7	-1.860600	
8	92	6	-5.658067	
8	91	5	-0.988323	
8	91	4	-1.674971	
8	90	3	-0.910102	
8	90	2	-1.273167	
8	89	1	-3.954505	
7	89	9	2.157195	
7	89	8	2.588750	
7	88	7	3.790033	
7	87	6	4.170599	
7	86	5	5.912557	
7	85	4	5.974595	
7	84	3	11.193136	
7	83	2	1.807049	
7	83	1	3.685946	
6	83	8	-1.490228	
6	82	7	-0.744917	
6	82	6	-0.194142	
6	81	5	-2.530426	
6	81	4	-3.168595	
6	80	3	-1.712203	
6	80	2	-3.885486	
6	79	1	-9.965009	
5	79	14	-2.134609	
5	79	13	-0.217723	
5	78	12	1.038780	
5	78	11	0.505052	
5	77	10	0.539273	
5	77	9	0.388171	
5	76	8	1.996109	
5	76	7	1.980508	
5	75	6	0.903665	
5	75	5	1.077552	
5	74	4	1.670840	
5	74	3	1.735284	
5	73	2	2.719410	
5	73	1	2.644092	
4	73	9	3.348547	
4	72	8	5.137481	
4	72	7	6.235446	
4	71	6	18.890623	
4	70	5	18.805754	
4	69	4	19.724836	
4	68	3	31.805250	
4	67	2	28.682390	
4	66	1	32.970139	
3	66	10	5.900341	
3	65	10	0.197784	
3	64	9	17.552027	
3	63	8	4.007686	
3	62	7	16.869795	
3	61	6	1.241476	
3	61	5	1.917461	
3	60	4	2.643812	
3	60	3	0.329969	
3	59	2	2.642635	
3	59	1	-0.580812	
2	59	13	1.690551	
2	58	12	-0.347143	
2	58	11	-0.280417	
2	57	10	-0.201838	
2	57	9	-0.171802	
2	56	8	0.907576	
2	56	7	0.681164	
2	55	6	0.711372	
2	55	5	0.463906	
2	54	4	0.124310	
2	54	3	0.143350	
2	53	2	2.137341	
2	53	1	2.502132	
1	53	6	0.681622	
1	52	5	0.723653	
1	52	4	3.824391	
1	51	3	8.250890	
1	50	2	8.493074	
1	49	2	0.587700	
1	48	1	-8.131020	
