k	j	i	s	
10	88	6	-0.725239	
10	88	5	-0.744058	
10	87	4	-1.517666	
10	86	3	0.110317	
10	86	2	-0.102369	
10	85	1	0.684857	
9	85	9	3.913749	
9	84	8	6.755989	
9	83	8	8.085531	
9	82	7	8.589557	
9	81	6	8.993320	
9	80	5	9.506968	
9	79	4	9.734139	
9	78	3	13.868536	
9	77	3	9.486126	
9	76	2	9.021276	
9	75	2	1.762625	
9	75	1	1.280681	
8	75	7	1.057771	
8	74	6	-0.488166	
8	73	5	3.279074	
8	72	4	4.599333	
8	71	4	5.934269	
8	70	3	4.647337	
8	69	3	4.789690	
8	68	2	1.328417	
8	68	1	1.537122	
7	68	9	-1.355098	
7	67	8	-0.904128	
7	67	7	0.103162	
7	66	6	0.982633	
7	66	5	0.808398	
7	65	4	1.381273	
7	64	3	4.035535	
7	63	3	1.419295	
7	62	2	7.318476	
7	61	2	0.105251	
7	61	1	1.934475	
6	61	8	0.636557	
6	60	7	4.153299	
6	59	6	6.685105	
6	59	5	3.375503	
6	58	4	4.231109	
6	58	3	1.179104	
6	57	2	-0.962583	
6	57	1	-2.899638	
5	57	14	1.011039	
5	56	13	-1.631566	
5	56	12	-1.985831	
5	55	11	-0.375365	
5	55	10	-0.796950	
5	54	9	-1.171305	
5	54	8	-1.277257	
5	53	7	0.485203	
5	53	6	0.518855	
5	52	5	1.164464	
5	52	4	1.347437	
5	51	3	0.816422	
5	51	2	1.077621	
5	50	1	-1.961928	
4	50	9	-1.073102	
4	50	8	0.700670	
4	49	7	4.822339	
4	49	6	9.335796	
4	48	5	19.006382	
4	47	4	28.106817	
4	46	3	19.112452	
4	45	2	25.210348	
4	44	1	5.985875	
3	44	10	-1.893917	
3	43	9	8.955179	
3	42	8	-5.992782	
3	41	7	13.254686	
3	40	6	-2.146165	
3	39	5	11.428641	
3	38	4	5.709866	
3	37	3	8.829058	
3	37	2	6.862298	
3	36	1	1.639533	
2	36	13	-0.164116	
2	36	12	-2.558810	
2	35	11	0.063667	
2	35	10	-1.668286	
2	34	9	-1.251954	
2	34	8	-1.327941	
2	33	7	0.315107	
2	33	6	0.136864	
2	32	5	0.314358	
2	32	4	0.535291	
2	31	3	0.673294	
2	31	2	0.817957	
2	30	1	-2.557894	
1	30	6	6.468191	
1	30	5	8.466949	
1	29	4	-0.579698	
1	29	3	0.816733	
1	28	2	22.820997	
1	27	1	0.755003	
