	k	i	s
90	10	6	-0.395811
89	10	5	-0.35979
88	10	4	-0.315459
87	10	3	0.648814
86	10	2	2.322463
85	10	1	1.3152190000000001
84	9	9	3.678235
83	9	8	0.801872
82	9	7	2.71949
81	9	6	3.340553
80	9	5	0.25219199999999986
79	9	4	-2.068306
78	9	3	-4.443238
77	9	2	1.3989069999999997
76	9	1	-0.359931
75	8	7	0.34376700000000016
74	8	6	0.9297290000000001
73	8	5	-0.266735
72	8	4	6.074078
71	8	3	6.835858
70	8	2	6.257249
69	8	1	2.0842650000000003
68	7	9	-0.194248
67	7	8	1.0499129999999999
66	7	7	1.6854939999999998
65	7	6	1.939539
64	7	5	2.682124
63	7	4	3.496312
62	7	3	7.775770999999999
61	7	2	-1.4950360000000003
60	7	1	-7.995824000000001
59	6	8	3.399501
58	6	7	3.9765110000000004
57	6	6	4.640587
56	6	5	5.270162
55	6	4	6.183605
54	6	3	4.835641000000001
53	6	2	3.4307
52	6	1	2.6106279999999997
51	5	14	1.614262
50	5	13	2.723429
49	5	12	2.666183
48	5	11	12.384213
47	5	10	2.218222
46	5	9	2.132186
45	5	8	2.4042630000000003
44	5	7	2.354046
43	5	6	2.306425
42	5	5	2.2320290000000003
41	5	4	5.464276
40	5	3	9.281801000000002
39	5	2	4.351217
38	5	1	1.687389
37	4	9	-0.253254
36	4	8	0.010926
35	4	7	1.137507
34	4	6	11.394182
33	4	5	-1.759323
32	4	4	3.714268
31	4	3	22.486734999999996
30	4	2	-17.915101
29	4	1	12.29599
28	3	10	-1.295572
27	3	9	21.746951000000003
26	3	8	3.08497
25	3	7	36.561008
24	3	6	9.803938
23	3	5	7.854597999999999
22	3	4	6.325028
21	3	3	10.639808
20	3	2	10.326578
19	3	1	1.595928
18	2	13	-4.571619
17	2	12	-3.686689
16	2	11	-3.592251
15	2	10	-4.582076
14	2	9	-4.915287999999999
13	2	8	-5.216083
12	2	7	-5.183606
11	2	6	-5.024677
10	2	5	-4.844804
9	2	4	-5.854545
8	2	3	-5.477798
7	2	2	-10.378236
6	2	1	-14.240306
5	1	6	-2.27102
4	1	5	-3.4932519999999996
3	1	4	18.669891
2	1	3	-12.910474
1	1	2	19.75882
0	1	1	-12.871703
