	k	i	s
90	10	6	1.255476
89	10	5	2.761066
88	10	4	2.166013
87	10	3	6.121269999999999
86	10	2	8.177952
85	10	1	3.306165
84	9	9	8.177935999999999
83	9	8	4.351781
82	9	7	6.541054
81	9	6	11.330618
80	9	5	9.853128
79	9	4	9.651914
78	9	3	7.680667
77	9	2	3.4079710000000003
76	9	1	1.4899870000000002
75	8	7	-0.481313
74	8	6	-2.022383
73	8	5	1.284119
72	8	4	8.976437
71	8	3	14.127586999999998
70	8	2	12.573694000000001
69	8	1	5.515087
68	7	9	-1.516375
67	7	8	-1.600625
66	7	7	0.83735
65	7	6	0.306566
64	7	5	3.575116
63	7	4	3.179811
62	7	3	11.137008999999999
61	7	2	14.894670000000001
60	7	1	14.401686999999999
59	6	8	1.2090689999999997
58	6	7	1.2891569999999999
57	6	6	12.293996
56	6	5	4.888721
55	6	4	1.806024
54	6	3	0.904623
53	6	2	1.398309
52	6	1	-0.115149
51	5	14	1.355558
50	5	13	3.9397849999999996
49	5	12	3.9638120000000003
48	5	11	4.600817
47	5	10	3.453243
46	5	9	2.968713
45	5	8	4.349606
44	5	7	1.1748319999999999
43	5	6	1.162413
42	5	5	1.72259
41	5	4	1.746458
40	5	3	0.650597
39	5	2	0.719803
38	5	1	1.671964
37	4	9	-0.644154
36	4	8	0.067725
35	4	7	0.794748
34	4	6	-0.124727
33	4	5	11.383818000000002
32	4	4	-2.05262
31	4	3	38.594051
30	4	2	-2.100466000000001
29	4	1	18.562849
28	3	10	-0.031923
27	3	9	19.148248999999996
26	3	8	7.28568
25	3	7	37.018276
24	3	6	9.179219
23	3	5	3.672791
22	3	4	3.313069
21	3	3	10.196305
20	3	2	8.681911
19	3	1	11.506789
18	2	13	-1.403006
17	2	12	-4.04409
16	2	11	-3.470528
15	2	10	-4.972477
14	2	9	-5.491635
13	2	8	-6.018811
12	2	7	-4.815187
11	2	6	-4.700038
10	2	5	-4.679358000000001
9	2	4	-4.220002
8	2	3	-4.048687
7	2	2	-3.465997
6	2	1	-9.111748
5	1	6	3.336522
4	1	5	4.921412
3	1	4	-8.250012
2	1	3	-6.170033
1	1	2	16.707073
0	1	1	-14.639660000000001
