	k	i	s
90	10	6	2.973272
89	10	5	8.062405
88	10	4	6.3988949999999996
87	10	3	2.615654
86	10	2	3.210586
85	10	1	4.5628269999999995
84	9	9	6.940575
83	9	8	7.190073999999999
82	9	7	5.5497559999999995
81	9	6	2.703262
80	9	5	2.891397
79	9	4	17.645663
78	9	3	7.478286
77	9	2	1.696863
76	9	1	2.304216
75	8	7	0.271417
74	8	6	-0.36762100000000003
73	8	5	0.72707
72	8	4	9.055005
71	8	3	3.379343
70	8	2	9.137121
69	8	1	3.708814
68	7	9	2.3769549999999997
67	7	8	6.933023
66	7	7	2.926285
65	7	6	14.080304
64	7	5	8.341389999999999
63	7	4	10.578756
62	7	3	27.644968
61	7	2	16.719316
60	7	1	-3.571418
59	6	8	-5.542542999999999
58	6	7	-6.058345999999999
57	6	6	-3.0938269999999997
56	6	5	12.815768
55	6	4	12.837765
54	6	3	4.043257
53	6	2	4.052080999999999
52	6	1	3.595396
51	5	14	4.630678
50	5	13	3.5055940000000003
49	5	12	3.966707
48	5	11	4.8879410000000005
47	5	10	4.973303
46	5	9	4.185612
45	5	8	4.271107
44	5	7	18.281495
43	5	6	4.4046650000000005
42	5	5	4.372873
41	5	4	3.29967
40	5	3	3.218834
39	5	2	3.138306
38	5	1	2.9778130000000003
37	4	9	1.271224
36	4	8	1.071092
35	4	7	2.8316610000000013
34	4	6	-7.889476999999999
33	4	5	-1.343409
32	4	4	-2.2484439999999997
31	4	3	28.357311
30	4	2	-0.265412
29	4	1	37.729614
28	3	10	0.052556999999999965
27	3	9	37.981973
26	3	8	1.995121
25	3	7	39.178171
24	3	6	7.759316
23	3	5	7.720818
22	3	4	1.26842
21	3	3	2.463911
20	3	2	1.9812299999999998
19	3	1	6.688942999999999
18	2	13	-2.108441
17	2	12	-4.339717
16	2	11	-4.920126
15	2	10	-4.4288419999999995
14	2	9	-5.284026
13	2	8	-6.01371
12	2	7	-5.177094
11	2	6	-5.327657
10	2	5	-5.308847
9	2	4	-5.415801
8	2	3	-4.555353
7	2	2	-4.7919410000000005
6	2	1	-12.385966999999999
5	1	6	0.674508
4	1	5	1.411202
3	1	4	8.140231
2	1	3	1.8572220000000002
1	1	2	19.236007999999998
0	1	1	-7.960642
