	k	i	s
90	10	6	2.920141
89	10	5	8.010793
88	10	4	6.349057
87	10	3	2.6333159999999998
86	10	2	3.225705
85	10	1	4.55208
84	9	9	6.932608999999999
83	9	8	7.165709
82	9	7	5.582913
81	9	6	2.738514
80	9	5	2.918941
79	9	4	17.748579
78	9	3	7.47098
77	9	2	1.679075
76	9	1	2.285197
75	8	7	0.23080599999999998
74	8	6	-0.435698
73	8	5	0.648799
72	8	4	8.971492999999999
71	8	3	3.3241650000000003
70	8	2	9.040602
69	8	1	3.65418
68	7	9	2.362307
67	7	8	6.967298
66	7	7	2.920332
65	7	6	14.114552
64	7	5	8.375978
63	7	4	10.531847
62	7	3	27.644304
61	7	2	16.740453
60	7	1	-3.5345769999999996
59	6	8	-5.2928999999999995
58	6	7	-6.081551
57	6	6	-3.096053
56	6	5	12.794103
55	6	4	12.767627000000001
54	6	3	4.037508
53	6	2	4.039832
52	6	1	3.579457
51	5	14	4.635847
50	5	13	3.5099
49	5	12	3.9699160000000004
48	5	11	4.885237999999999
47	5	10	4.970552
46	5	9	4.1880180000000005
45	5	8	4.273759
44	5	7	18.278491
43	5	6	4.404730000000001
42	5	5	4.373
41	5	4	3.3024949999999995
40	5	3	3.221441
39	5	2	3.1373330000000004
38	5	1	2.977312
37	4	9	1.269674
36	4	8	1.0638299999999998
35	4	7	2.8470330000000006
34	4	6	-7.949242
33	4	5	-1.341987
32	4	4	-2.267503
31	4	3	28.316538
30	4	2	-0.209986
29	4	1	37.708939
28	3	10	0.042063000000000184
27	3	9	37.968025000000004
26	3	8	2.000539
25	3	7	39.067497
24	3	6	7.813639
23	3	5	7.7268419999999995
22	3	4	1.337792
21	3	3	2.464556
20	3	2	1.9811159999999999
19	3	1	6.707133
18	2	13	-2.105459
17	2	12	-4.328778
16	2	11	-4.934792
15	2	10	-4.434202
14	2	9	-5.283426
13	2	8	-6.013399
12	2	7	-5.178926000000001
11	2	6	-5.330611
10	2	5	-5.307807
9	2	4	-5.414301
8	2	3	-4.555777
7	2	2	-4.792665
6	2	1	-12.389123
5	1	6	0.6764220000000001
4	1	5	1.413251
3	1	4	8.149106
2	1	3	1.819316
1	1	2	19.319354
0	1	1	-7.992429
