	k	i	s
89	10	6	3.052956
88	10	5	2.199894
87	10	4	-2.495533
86	10	3	-1.256141
85	10	2	1.3423049999999996
84	10	1	0.10288
83	9	9	-0.45823100000000005
82	9	8	1.180583
81	9	7	1.016879
80	9	6	-0.114751
79	9	5	-0.092888
78	9	4	7.207554
77	9	3	8.301781
76	9	2	0.846146
75	9	1	1.389471
74	8	7	-1.148203
73	8	6	0.643416
72	8	5	0.8232079999999999
71	8	4	0.07616799999999999
70	8	3	-2.225554
69	8	2	0.5938260000000001
68	8	1	0.6405609999999999
67	7	9	-1.538176
66	7	8	-1.266805
65	7	7	-1.450381
64	7	6	-0.567852
63	7	5	1.323698
62	7	4	0.777112
61	7	3	4.0706299999999995
60	7	2	5.702041
59	7	1	6.8022089999999995
58	6	8	20.503898
57	6	7	9.443947999999999
56	6	6	14.621903
55	6	5	13.071882
54	6	4	7.857728
53	6	3	6.333844
52	6	2	6.7357070000000006
51	6	1	5.094468
50	5	14	1.503931
49	5	13	1.5806280000000001
48	5	12	2.124189
47	5	11	1.016218
46	5	10	1.081651
45	5	9	1.6743
44	5	8	1.758886
43	5	7	2.961464
42	5	6	2.991356
41	5	5	3.14174
40	5	4	3.212777
39	5	3	2.7612389999999998
38	5	2	2.930882
37	5	1	3.445814
36	4	9	2.075528
35	4	8	3.073847
34	4	7	8.598982000000001
33	4	6	10.212116
32	4	5	23.849210999999997
31	4	4	17.870409
30	4	3	5.610462
29	4	2	-2.478951
28	4	1	-5.055898
27	3	10	0.512144
26	3	9	22.352167
25	3	8	1.9101709999999998
24	3	7	41.517363
23	3	6	13.327501999999999
22	3	5	14.269114000000002
21	3	4	15.914557
20	3	3	10.077847
19	3	2	22.577674000000002
18	3	1	6.943292
17	2	13	4.163819999999999
16	2	12	4.499569999999999
15	2	11	4.650113
14	2	10	2.9722779999999998
13	2	9	2.638737
12	2	8	2.7579860000000003
11	2	7	2.737037
10	2	6	3.5998040000000002
9	2	5	3.5166769999999996
8	2	4	3.069413
7	2	3	2.992396
6	2	2	2.848877
5	2	1	2.574232
4	1	6	4.580426
3	1	5	7.398561999999999
2	1	4	12.391178
1	1	3	16.613274
0	1	1	20.02371
